Time (s),CPG0,CPG1,Z_POS (Meters),CL0 (Degrees),FL0 (Degrees),TL0 (Degrees)
0.13,+5.232e-01,-2.586e-01,-1.928,1.35,3.384,1.745
0.14,+5.843e-01,-4.607e-01,-1.926,1.35,3.384,1.745
0.15,+5.719e-01,-6.463e-01,-1.925,1.349,3.384,1.744
0.17,+5.113e-01,-7.608e-01,-1.925,1.348,3.384,1.744
0.18,+4.089e-01,-8.076e-01,-1.925,1.348,3.384,1.744
0.2,+2.583e-01,-8.157e-01,-1.925,1.348,3.384,1.744
0.21,+9.555e-02,-8.209e-01,-1.925,1.348,3.384,1.744
0.23,-1.237e-01,-8.113e-01,-1.925,1.348,3.384,1.745
0.24,-4.034e-01,-7.846e-01,-1.925,1.348,3.384,1.744
0.26,-6.686e-01,-7.366e-01,-1.925,1.348,3.384,1.744
0.27,-8.206e-01,-6.659e-01,-1.925,1.348,3.384,1.744
0.28,-8.718e-01,-5.816e-01,-1.925,1.348,3.384,1.744
0.29,-8.814e-01,-4.906e-01,-1.925,1.348,3.384,1.744
0.31,-8.784e-01,-3.889e-01,-1.925,1.348,3.384,1.744
0.33,-8.708e-01,-2.665e-01,-1.925,1.348,3.385,1.744
0.34,-8.598e-01,-1.085e-01,-1.925,1.348,3.385,1.744
0.35,-8.438e-01,+1.025e-01,-1.925,1.348,3.385,1.744
0.37,-8.194e-01,+3.678e-01,-1.925,1.348,3.384,1.745
0.38,-7.816e-01,+6.293e-01,-1.925,1.348,3.384,1.745
0.4,-7.291e-01,+7.948e-01,-1.925,1.348,3.384,1.744
0.41,-6.701e-01,+8.600e-01,-1.925,1.348,3.384,1.744
0.43,-6.123e-01,+8.778e-01,-1.925,1.348,3.384,1.744
0.44,-5.574e-01,+8.798e-01,-1.925,1.348,3.384,1.744
0.46,-5.030e-01,+8.769e-01,-1.925,1.348,3.384,1.744
0.47,-4.463e-01,+8.722e-01,-1.925,1.348,3.384,1.744
0.49,-3.834e-01,+8.666e-01,-1.925,1.348,3.384,1.744
0.5,-3.088e-01,+8.601e-01,-1.925,1.348,3.384,1.744
