Time (s),CPG0,CPG1,Z_POS (Meters),CL0 (Degrees),FL0 (Degrees),TL0 (Degrees)
0.14,0.522,-0.2575,-1.926,1.35,3.384,1.745
0.16,0.5841,-0.4595,-1.925,1.349,3.384,1.744
0.17,0.6038,-0.6623,-1.925,1.348,3.384,1.744
0.19,0.5849,-0.7955,-1.925,1.348,3.384,1.744
0.21,0.5414,-0.8531,-1.925,1.348,3.384,1.744
0.22,0.4847,-0.8707,-1.925,1.348,3.384,1.745
0.24,0.4176,-0.8728,-1.925,1.348,3.384,1.744
0.25,0.3366,-0.869,-1.925,1.348,3.384,1.744
0.27,0.2335,-0.8619,-1.925,1.348,3.384,1.744
0.29,0.09527,-0.8516,-1.925,1.348,3.384,1.744
0.3,-0.0948,-0.8364,-1.925,1.348,3.384,1.744
0.31,-0.3425,-0.8125,-1.925,1.348,3.384,1.744
0.33,-0.6024,-0.7746,-1.925,1.348,3.385,1.744
0.34,-0.7819,-0.7191,-1.925,1.348,3.385,1.744
0.36,-0.8581,-0.6514,-1.925,1.348,3.384,1.745
0.37,-0.8795,-0.5795,-1.925,1.348,3.384,1.745
0.39,-0.8818,-0.5043,-1.925,1.348,3.384,1.744
0.41,-0.8777,-0.4212,-1.925,1.348,3.384,1.744
0.42,-0.8709,-0.322,-1.925,1.348,3.384,1.744
0.44,-0.8616,-0.1944,-1.925,1.348,3.384,1.744
0.45,-0.8485,-0.02097,-1.925,1.348,3.384,1.744
0.47,-0.8286,0.2148,-1.925,1.348,3.384,1.744
0.49,-0.7969,0.4951,-1.925,1.348,3.384,1.744
0.5,-0.7474,0.7288,-1.925,1.348,3.384,1.744
0.52,-0.6817,0.8453,-1.925,1.348,3.384,1.744
0.53,-0.6092,0.8819,-1.925,1.348,3.384,1.744
0.55,-0.5342,0.8886,-1.925,1.348,3.384,1.744
0.57,-0.4534,0.8861,-1.925,1.348,3.384,1.744
0.58,-0.3598,0.8804,-1.925,1.348,3.384,1.744
0.6,-0.2423,0.8725,-1.925,1.348,3.384,1.744
0.61,-0.08477,0.8615,-1.925,1.348,3.384,1.744
0.63,0.1318,0.8454,-1.925,1.348,3.384,1.744
0.65,0.4063,0.82,-1.925,1.348,3.384,1.744
0.66,0.6687,0.7795,-1.925,1.348,3.384,1.744
0.68,0.8225,0.7231,-1.925,1.348,3.384,1.744
0.69,0.8773,0.6596,-1.925,1.348,3.384,1.744
0.71,0.8902,0.5965,-1.925,1.348,3.384,1.744
0.73,0.8903,0.5341,-1.925,1.348,3.384,1.744
0.74,0.8866,0.4688,-1.925,1.348,3.384,1.744
0.76,0.8815,0.3952,-1.925,1.348,3.384,1.744
0.77,0.8752,0.3064,-1.925,1.348,3.384,1.744
0.79,0.867,0.1915,-1.925,1.348,3.384,1.744
0.8,0.8558,0.03525,-1.925,1.348,3.384,1.744
0.81,0.8391,-0.1784,-1.925,1.348,3.384,1.744
0.83,0.8126,-0.4419,-1.925,1.348,3.384,1.744
0.85,0.7715,-0.6838,-1.925,1.348,3.384,1.744
0.87,0.7156,-0.8221,-1.925,1.348,3.384,1.744
0.88,0.6537,-0.872,-1.925,1.348,3.384,1.744
0.9,0.5921,-0.884,-1.925,1.348,3.384,1.744
0.92,0.531,-0.8839,-1.925,1.348,3.385,1.744
0.93,0.4667,-0.8801,-1.925,1.348,3.385,1.744
0.95,0.3944,-0.8747,-1.925,1.348,3.384,1.744
0.97,0.307,-0.868,-1.925,1.348,3.384,1.744
0.98,0.1942,-0.8594,-1.925,1.348,3.384,1.744
1.0,0.04122,-0.8476,-1.925,1.348,3.384,1.744
1.01,-0.168,-0.83,-1.925,1.348,3.384,1.744
1.03,-0.4281,-0.8023,-1.925,1.348,3.384,1.744
1.05,-0.6718,-0.7588,-1.891,1.436,3.285,1.75
1.06,-0.8154,-0.6984,-1.844,1.537,3.185,1.762
1.07,-0.8685,-0.6288,-1.812,1.64,3.086,1.78
1.09,-0.8814,-0.5561,-1.798,1.842,2.886,1.818
1.1,-0.8809,-0.479,-1.811,1.942,2.786,1.845
