Time (s),CPG0 (User unit),CPG1 (User unit),Z_POS (Meters),CL0 (Degrees),FL0 (Degrees),TL0 (Degrees),ACT0 (User unit),ACT1 (User unit)
0.010,Null,Null,-1.250e+00,+1.346e+00,+3.384e+00,+1.746e+00,Null,Null
0.020,Null,Null,-1.263e+00,+1.346e+00,+3.384e+00,+1.746e+00,Null,Null
0.030,Null,Null,-1.287e+00,+1.346e+00,+3.384e+00,+1.746e+00,Null,Null
0.040,Null,Null,-1.320e+00,+1.346e+00,+3.384e+00,+1.746e+00,Null,Null
0.050,Null,Null,-1.364e+00,+1.346e+00,+3.384e+00,+1.746e+00,Null,Null
0.060,Null,Null,-1.417e+00,+1.346e+00,+3.384e+00,+1.746e+00,Null,Null
0.070,Null,Null,-1.479e+00,+1.346e+00,+3.384e+00,+1.746e+00,Null,Null
0.080,Null,Null,-1.552e+00,+1.346e+00,+3.384e+00,+1.746e+00,Null,Null
0.090,Null,Null,-1.634e+00,+1.346e+00,+3.384e+00,+1.746e+00,Null,Null
0.100,Null,Null,-1.726e+00,+1.346e+00,+3.384e+00,+1.746e+00,Null,Null
0.110,Null,Null,-1.829e+00,+1.346e+00,+3.384e+00,+1.746e+00,Null,Null
0.120,Null,Null,-1.933e+00,+1.346e+00,+3.384e+00,+1.746e+00,Null,Null
0.130,Null,Null,-1.928e+00,+1.350e+00,+3.384e+00,+1.745e+00,Null,Null
0.140,+5.220e-01,-2.575e-01,-1.926e+00,+1.350e+00,+3.384e+00,+1.745e+00,Null,Null
0.150,Null,Null,-1.925e+00,+1.349e+00,+3.384e+00,+1.744e+00,Null,Null
0.160,+5.841e-01,-4.595e-01,-1.925e+00,+1.349e+00,+3.384e+00,+1.744e+00,Null,Null
0.170,+6.038e-01,-6.623e-01,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.180,Null,Null,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.190,+5.849e-01,-7.955e-01,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.200,Null,Null,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.210,+5.414e-01,-8.531e-01,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.220,+4.847e-01,-8.707e-01,-1.925e+00,+1.348e+00,+3.384e+00,+1.745e+00,Null,Null
0.230,Null,Null,-1.925e+00,+1.348e+00,+3.384e+00,+1.745e+00,Null,Null
0.240,+4.176e-01,-8.728e-01,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.250,+3.366e-01,-8.690e-01,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.260,Null,Null,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.270,+2.335e-01,-8.619e-01,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.280,Null,Null,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.290,+9.527e-02,-8.516e-01,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.300,-9.480e-02,-8.364e-01,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.310,-3.425e-01,-8.125e-01,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.320,Null,Null,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.330,-6.024e-01,-7.746e-01,-1.925e+00,+1.348e+00,+3.385e+00,+1.744e+00,Null,Null
0.340,-7.819e-01,-7.191e-01,-1.925e+00,+1.348e+00,+3.385e+00,+1.744e+00,Null,Null
0.350,Null,Null,-1.925e+00,+1.348e+00,+3.385e+00,+1.744e+00,Null,Null
0.360,-8.581e-01,-6.514e-01,-1.925e+00,+1.348e+00,+3.384e+00,+1.745e+00,Null,Null
0.370,-8.795e-01,-5.795e-01,-1.925e+00,+1.348e+00,+3.384e+00,+1.745e+00,Null,Null
0.380,Null,Null,-1.925e+00,+1.348e+00,+3.384e+00,+1.745e+00,Null,Null
0.390,-8.818e-01,-5.043e-01,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.400,Null,Null,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.410,-8.777e-01,-4.212e-01,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.420,-8.709e-01,-3.220e-01,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.430,Null,Null,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.440,-8.616e-01,-1.944e-01,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.450,-8.485e-01,-2.097e-02,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.460,Null,Null,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.470,-8.286e-01,+2.148e-01,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.480,Null,Null,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.490,-7.969e-01,+4.951e-01,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.500,-7.474e-01,+7.288e-01,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.510,Null,Null,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.520,-6.817e-01,+8.453e-01,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.530,-6.092e-01,+8.819e-01,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.540,Null,Null,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.550,-5.342e-01,+8.886e-01,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.560,Null,Null,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.570,-4.534e-01,+8.861e-01,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.580,-3.598e-01,+8.804e-01,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.590,Null,Null,-1.925e+00,+1.348e+00,+3.385e+00,+1.744e+00,Null,Null
0.600,-2.423e-01,+8.725e-01,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.610,-8.477e-02,+8.615e-01,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.620,Null,Null,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.630,+1.318e-01,+8.454e-01,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.640,Null,Null,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.650,+4.063e-01,+8.200e-01,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.660,+6.687e-01,+7.795e-01,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.670,Null,Null,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.680,+8.225e-01,+7.231e-01,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.690,+8.773e-01,+6.596e-01,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.700,Null,Null,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.710,+8.902e-01,+5.965e-01,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.720,Null,Null,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.730,+8.903e-01,+5.341e-01,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.740,+8.866e-01,+4.688e-01,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.750,Null,Null,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.760,+8.815e-01,+3.952e-01,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.770,+8.752e-01,+3.064e-01,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.780,Null,Null,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.790,+8.670e-01,+1.915e-01,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.800,+8.558e-01,+3.525e-02,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.810,+8.391e-01,-1.784e-01,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.820,Null,Null,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.830,+8.126e-01,-4.419e-01,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.840,Null,Null,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.850,+7.715e-01,-6.838e-01,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.860,Null,Null,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.870,+7.156e-01,-8.221e-01,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.880,+6.537e-01,-8.720e-01,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.890,Null,Null,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.900,+5.921e-01,-8.840e-01,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.910,Null,Null,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.920,+5.310e-01,-8.839e-01,-1.925e+00,+1.348e+00,+3.385e+00,+1.744e+00,Null,Null
0.930,+4.667e-01,-8.801e-01,-1.925e+00,+1.348e+00,+3.385e+00,+1.744e+00,Null,Null
0.940,Null,Null,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.950,+3.944e-01,-8.747e-01,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.960,Null,Null,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.970,+3.070e-01,-8.680e-01,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.980,+1.942e-01,-8.594e-01,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
0.990,Null,Null,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
1.000,+4.122e-02,-8.476e-01,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
1.010,-1.680e-01,-8.300e-01,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
1.020,Null,Null,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
1.030,-4.281e-01,-8.023e-01,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
1.040,Null,Null,-1.925e+00,+1.348e+00,+3.384e+00,+1.744e+00,Null,Null
1.050,-6.718e-01,-7.588e-01,-1.891e+00,+1.436e+00,+3.285e+00,+1.750e+00,Null,Null
1.060,-8.154e-01,-6.984e-01,-1.844e+00,+1.537e+00,+3.185e+00,+1.762e+00,Null,Null
1.070,-8.685e-01,-6.288e-01,-1.812e+00,+1.640e+00,+3.086e+00,+1.780e+00,Null,Null
1.080,Null,Null,-1.798e+00,+1.741e+00,+2.986e+00,+1.796e+00,Null,Null
1.090,-8.814e-01,-5.561e-01,-1.798e+00,+1.842e+00,+2.886e+00,+1.818e+00,Null,Null
1.100,-8.809e-01,-4.790e-01,-1.811e+00,+1.942e+00,+2.786e+00,+1.845e+00,Null,Null
1.110,Null,Null,-1.834e+00,+2.042e+00,+2.686e+00,+1.870e+00,Null,Null
1.120,-8.758e-01,-3.919e-01,-1.867e+00,+2.142e+00,+2.586e+00,+1.898e+00,Null,Null
1.130,-8.682e-01,-2.852e-01,-1.917e+00,+2.237e+00,+2.487e+00,+1.931e+00,Null,Null
1.140,Null,Null,-1.927e+00,+2.338e+00,+2.409e+00,+1.958e+00,Null,Null
1.150,-8.579e-01,-1.452e-01,-1.926e+00,+2.418e+00,+2.335e+00,+1.990e+00,Null,Null
1.160,Null,Null,-1.925e+00,+2.470e+00,+2.266e+00,+2.018e+00,Null,Null
1.170,-8.431e-01,+4.690e-02,-1.925e+00,+2.501e+00,+2.190e+00,+2.049e+00,Null,Null
1.180,-8.201e-01,+3.020e-01,-1.925e+00,+2.525e+00,+2.095e+00,+2.088e+00,Null,Null
1.190,Null,Null,-1.924e+00,+2.538e+00,+2.020e+00,+2.120e+00,Null,Null
1.200,-7.832e-01,+5.800e-01,-1.913e+00,+2.534e+00,+1.995e+00,+2.160e+00,Null,Null
1.210,-7.278e-01,+7.784e-01,-1.896e+00,+2.508e+00,+1.987e+00,+2.194e+00,Null,Null
1.220,Null,Null,-1.876e+00,+2.486e+00,+1.985e+00,+2.222e+00,Null,Null
1.230,-6.590e-01,+8.626e-01,-1.856e+00,+2.452e+00,+1.984e+00,+2.241e+00,Null,Null
1.240,Null,Null,-1.832e+00,+2.424e+00,+1.983e+00,+2.257e+00,Null,Null
1.250,-5.857e-01,+8.858e-01,-1.802e+00,+2.395e+00,+1.983e+00,+2.273e+00,Null,Null
1.260,-5.094e-01,+8.884e-01,-1.771e+00,+2.367e+00,+1.983e+00,+2.288e+00,Null,Null
1.270,Null,Null,-1.744e+00,+2.346e+00,+1.983e+00,+2.300e+00,Null,Null
1.280,-4.255e-01,+8.846e-01,-1.730e+00,+2.320e+00,+1.984e+00,+2.306e+00,Null,Null
1.290,Null,Null,-1.723e+00,+2.300e+00,+1.984e+00,+2.311e+00,Null,Null
1.300,-3.257e-01,+8.781e-01,-1.729e+00,+2.272e+00,+1.984e+00,+2.304e+00,Null,Null
1.310,-1.975e-01,+8.694e-01,-1.750e+00,+2.238e+00,+1.984e+00,+2.275e+00,Null,Null
1.320,-2.306e-02,+8.571e-01,-1.773e+00,+2.197e+00,+1.983e+00,+2.217e+00,Null,Null
1.330,Null,Null,-1.789e+00,+2.165e+00,+1.984e+00,+2.167e+00,Null,Null
1.340,+2.143e-01,+8.386e-01,-1.799e+00,+2.133e+00,+1.984e+00,+2.087e+00,Null,Null
1.350,Null,Null,-1.805e+00,+2.109e+00,+1.984e+00,+2.020e+00,Null,Null
1.360,+4.967e-01,+8.090e-01,-1.808e+00,+2.090e+00,+1.984e+00,+1.925e+00,Null,Null
1.370,+7.315e-01,+7.631e-01,-1.813e+00,+2.068e+00,+1.984e+00,+1.825e+00,Null,Null
1.380,Null,Null,-1.818e+00,+2.051e+00,+1.984e+00,+1.729e+00,Null,Null
1.390,+8.476e-01,+7.031e-01,-1.825e+00,+2.029e+00,+1.984e+00,+1.631e+00,Null,Null
1.400,Null,Null,-1.831e+00,+2.011e+00,+1.984e+00,+1.550e+00,Null,Null
1.410,+8.840e-01,+6.393e-01,-1.834e+00,+1.996e+00,+1.984e+00,+1.473e+00,Null,Null
1.420,+8.910e-01,+5.767e-01,-1.834e+00,+1.985e+00,+1.984e+00,+1.404e+00,Null,Null
1.430,Null,Null,-1.832e+00,+1.976e+00,+1.984e+00,+1.348e+00,Null,Null
1.440,+8.894e-01,+5.139e-01,-1.829e+00,+1.970e+00,+1.984e+00,+1.296e+00,Null,Null
1.450,+8.851e-01,+4.466e-01,-1.825e+00,+1.966e+00,+1.984e+00,+1.250e+00,Null,Null
1.460,Null,Null,-1.822e+00,+1.963e+00,+1.984e+00,+1.212e+00,Null,Null
1.470,+8.796e-01,+3.691e-01,-1.822e+00,+1.959e+00,+1.984e+00,+1.177e+00,Null,Null
1.480,Null,Null,-1.824e+00,+1.956e+00,+1.984e+00,+1.149e+00,Null,Null
1.490,+8.728e-01,+2.733e-01,-1.829e+00,+1.953e+00,+1.984e+00,+1.124e+00,Null,Null
1.500,+8.639e-01,+1.471e-01,-1.841e+00,+1.950e+00,+1.984e+00,+1.103e+00,Null,Null
1.510,Null,Null,-1.862e+00,+1.948e+00,+1.984e+00,+1.086e+00,Null,Null
1.520,+8.512e-01,-2.594e-02,-1.891e+00,+1.946e+00,+1.984e+00,+1.076e+00,Null,Null
1.530,+8.320e-01,-2.587e-01,-1.935e+00,+1.946e+00,+1.984e+00,+1.076e+00,Null,Null
1.540,Null,Null,-1.928e+00,+1.958e+00,+1.984e+00,+1.074e+00,Null,Null
1.550,+8.013e-01,-5.263e-01,-1.926e+00,+1.960e+00,+1.984e+00,+1.084e+00,Null,Null
1.560,Null,Null,-1.925e+00,+1.962e+00,+1.984e+00,+1.090e+00,Null,Null
1.570,+7.550e-01,-7.403e-01,-1.925e+00,+1.962e+00,+1.984e+00,+1.107e+00,Null,Null
1.580,+6.961e-01,-8.449e-01,-1.925e+00,+1.953e+00,+1.985e+00,+1.127e+00,Null,Null
1.590,Null,Null,-1.925e+00,+1.947e+00,+1.985e+00,+1.145e+00,Null,Null
1.600,+6.339e-01,-8.782e-01,-1.925e+00,+1.941e+00,+1.988e+00,+1.162e+00,Null,Null
1.610,+5.728e-01,-8.847e-01,-1.925e+00,+1.940e+00,+1.994e+00,+1.182e+00,Null,Null
1.620,Null,Null,-1.925e+00,+1.939e+00,+1.999e+00,+1.199e+00,Null,Null
1.630,+5.111e-01,-8.829e-01,-1.925e+00,+1.942e+00,+2.009e+00,+1.218e+00,Null,Null
1.640,+4.449e-01,-8.785e-01,-1.925e+00,+1.948e+00,+2.030e+00,+1.240e+00,Null,Null
1.650,Null,Null,-1.925e+00,+1.954e+00,+2.047e+00,+1.258e+00,Null,Null
1.660,+3.686e-01,-8.727e-01,-1.925e+00,+1.961e+00,+2.077e+00,+1.279e+00,Null,Null
1.670,Null,Null,-1.925e+00,+1.968e+00,+2.103e+00,+1.296e+00,Null,Null
1.680,+2.745e-01,-8.655e-01,-1.925e+00,+1.976e+00,+2.145e+00,+1.318e+00,Null,Null
1.690,+1.507e-01,-8.561e-01,-1.918e+00,+1.988e+00,+2.205e+00,+1.345e+00,Null,Null
1.700,Null,Null,-1.909e+00,+1.999e+00,+2.256e+00,+1.368e+00,Null,Null
1.710,-1.867e-02,-8.428e-01,-1.898e+00,+2.015e+00,+2.316e+00,+1.397e+00,Null,Null
1.720,Null,Null,-1.874e+00,+2.030e+00,+2.365e+00,+1.421e+00,Null,Null
1.730,-2.469e-01,-8.226e-01,-1.819e+00,+2.058e+00,+2.401e+00,+1.454e+00,Null,Null
1.740,-5.124e-01,-7.904e-01,-1.734e+00,+2.114e+00,+2.398e+00,+1.500e+00,Null,Null
1.750,-7.300e-01,-7.412e-01,-1.633e+00,+2.176e+00,+2.377e+00,+1.552e+00,Null,Null
1.760,Null,Null,-1.538e+00,+2.226e+00,+2.358e+00,+1.596e+00,Null,Null
1.770,-8.395e-01,-6.768e-01,-1.453e+00,+2.271e+00,+2.336e+00,+1.639e+00,Null,Null
1.780,-8.752e-01,-6.060e-01,-1.397e+00,+2.317e+00,+2.299e+00,+1.683e+00,Null,Null
1.790,Null,Null,-1.381e+00,+2.355e+00,+2.267e+00,+1.720e+00,Null,Null
1.800,-8.820e-01,-5.322e-01,-1.402e+00,+2.395e+00,+2.216e+00,+1.760e+00,Null,Null
1.810,Null,Null,-1.449e+00,+2.427e+00,+2.173e+00,+1.794e+00,Null,Null
1.820,-8.796e-01,-4.528e-01,-1.518e+00,+2.463e+00,+2.111e+00,+1.830e+00,Null,Null
1.830,-8.736e-01,-3.606e-01,-1.613e+00,+2.496e+00,+2.037e+00,+1.870e+00,Null,Null
1.840,-8.653e-01,-2.451e-01,-1.705e+00,+2.524e+00,+2.000e+00,+1.912e+00,Null,Null
1.850,-8.538e-01,-9.068e-02,-1.785e+00,+2.539e+00,+1.989e+00,+1.954e+00,Null,Null
1.860,Null,Null,-1.867e+00,+2.543e+00,+1.985e+00,+1.990e+00,Null,Null
1.870,-8.369e-01,+1.215e-01,-1.931e+00,+2.544e+00,+1.985e+00,+2.028e+00,Null,Null
1.880,Null,Null,-1.927e+00,+2.545e+00,+1.985e+00,+2.059e+00,Null,Null
1.890,-8.102e-01,+3.923e-01,-1.923e+00,+2.544e+00,+1.984e+00,+2.101e+00,Null,Null
1.900,-7.676e-01,+6.561e-01,-1.915e+00,+2.533e+00,+1.983e+00,+2.147e+00,Null,Null
1.910,Null,Null,-1.899e+00,+2.524e+00,+1.983e+00,+2.185e+00,Null,Null
1.920,-7.069e-01,+8.156e-01,-1.889e+00,+2.493e+00,+1.984e+00,+2.213e+00,Null,Null
1.930,Null,Null,-1.882e+00,+2.467e+00,+1.984e+00,+2.235e+00,Null,Null
1.940,-6.359e-01,+8.740e-01,-1.882e+00,+2.434e+00,+1.984e+00,+2.253e+00,Null,Null
1.950,-5.619e-01,+8.878e-01,-1.880e+00,+2.402e+00,+1.983e+00,+2.271e+00,Null,Null
1.960,Null,Null,-1.869e+00,+2.377e+00,+1.983e+00,+2.285e+00,Null,Null
1.970,-4.839e-01,+8.876e-01,-1.855e+00,+2.350e+00,+1.983e+00,+2.298e+00,Null,Null
1.980,Null,Null,-1.838e+00,+2.328e+00,+1.983e+00,+2.308e+00,Null,Null
1.990,-3.960e-01,+8.827e-01,-1.824e+00,+2.303e+00,+1.983e+00,+2.310e+00,Null,Null
2.000,-2.888e-01,+8.756e-01,-1.817e+00,+2.271e+00,+1.983e+00,+2.297e+00,Null,Null
2.010,Null,Null,-1.816e+00,+2.245e+00,+1.984e+00,+2.285e+00,Null,Null
2.020,-1.480e-01,+8.660e-01,-1.824e+00,+2.211e+00,+1.984e+00,+2.251e+00,Null,Null
2.030,+4.525e-02,+8.521e-01,-1.841e+00,+2.174e+00,+1.984e+00,+2.184e+00,Null,Null
2.040,Null,Null,-1.860e+00,+2.144e+00,+1.984e+00,+2.127e+00,Null,Null
2.050,+3.022e-01,+8.307e-01,-1.878e+00,+2.117e+00,+1.984e+00,+2.040e+00,Null,Null
2.060,+5.821e-01,+7.963e-01,-1.887e+00,+2.095e+00,+1.984e+00,+1.940e+00,Null,Null
2.070,Null,Null,-1.891e+00,+2.078e+00,+1.984e+00,+1.845e+00,Null,Null
2.080,+7.810e-01,+7.451e-01,-1.894e+00,+2.055e+00,+1.984e+00,+1.745e+00,Null,Null
2.090,+8.648e-01,+6.828e-01,-1.895e+00,+2.032e+00,+1.984e+00,+1.645e+00,Null,Null
2.100,Null,Null,-1.897e+00,+2.013e+00,+1.984e+00,+1.558e+00,Null,Null
2.110,+8.879e-01,+6.193e-01,-1.902e+00,+1.998e+00,+1.984e+00,+1.477e+00,Null,Null
2.120,Null,Null,-1.907e+00,+1.986e+00,+1.984e+00,+1.412e+00,Null,Null
2.130,+8.909e-01,+5.569e-01,-1.911e+00,+1.977e+00,+1.984e+00,+1.352e+00,Null,Null
2.140,+8.882e-01,+4.932e-01,-1.911e+00,+1.971e+00,+1.984e+00,+1.298e+00,Null,Null
2.150,Null,Null,-1.911e+00,+1.966e+00,+1.984e+00,+1.254e+00,Null,Null
2.160,+8.835e-01,+4.233e-01,-1.913e+00,+1.962e+00,+1.984e+00,+1.214e+00,Null,Null
2.170,+8.777e-01,+3.411e-01,-1.915e+00,+1.959e+00,+1.984e+00,+1.178e+00,Null,Null
2.180,Null,Null,-1.921e+00,+1.955e+00,+1.984e+00,+1.148e+00,Null,Null
2.190,+8.703e-01,+2.371e-01,-1.925e+00,+1.953e+00,+1.984e+00,+1.123e+00,Null,Null
2.200,Null,Null,-1.925e+00,+1.952e+00,+1.984e+00,+1.102e+00,Null,Null
2.210,+8.604e-01,+9.801e-02,-1.925e+00,+1.952e+00,+1.984e+00,+1.086e+00,Null,Null
2.220,+8.460e-01,-9.342e-02,-1.925e+00,+1.950e+00,+1.984e+00,+1.077e+00,Null,Null
2.230,Null,Null,-1.925e+00,+1.953e+00,+1.984e+00,+1.069e+00,Null,Null
2.240,+8.237e-01,-3.432e-01,-1.925e+00,+1.957e+00,+1.984e+00,+1.072e+00,Null,Null
2.250,+7.884e-01,-6.050e-01,-1.925e+00,+1.957e+00,+1.985e+00,+1.087e+00,Null,Null
2.260,Null,Null,-1.925e+00,+1.958e+00,+1.984e+00,+1.098e+00,Null,Null
2.270,+7.372e-01,-7.848e-01,-1.925e+00,+1.953e+00,+1.984e+00,+1.116e+00,Null,Null
2.280,Null,Null,-1.925e+00,+1.949e+00,+1.984e+00,+1.130e+00,Null,Null
2.290,+6.763e-01,-8.605e-01,-1.925e+00,+1.944e+00,+1.984e+00,+1.147e+00,Null,Null
2.300,+6.144e-01,-8.819e-01,-1.925e+00,+1.941e+00,+1.988e+00,+1.166e+00,Null,Null
2.310,Null,Null,-1.925e+00,+1.937e+00,+1.992e+00,+1.182e+00,Null,Null
2.320,+5.534e-01,-8.846e-01,-1.925e+00,+1.938e+00,+1.999e+00,+1.200e+00,Null,Null
2.330,+4.907e-01,-8.817e-01,-1.925e+00,+1.942e+00,+2.013e+00,+1.221e+00,Null,Null
2.340,Null,Null,-1.925e+00,+1.946e+00,+2.024e+00,+1.239e+00,Null,Null
