Time (s),fs1 (User unit),fs2 (User unit),fs3 (User unit),fs4 (User unit),fs5 (User unit),fs6 (User unit)
0.01,0,1.1,2.2,3.3,4.4,5.5
0.02,0,1.1,2.2,3.3,4.4,5.5
0.03,0,1.1,2.2,3.3,4.4,5.5
0.04,0,1.1,2.2,3.3,4.4,5.5
0.05,0,1.1,2.2,3.3,4.4,5.5
0.06,0,1.1,2.2,3.3,4.4,5.5
0.07,0,1.1,2.2,3.3,4.4,5.5
0.08,0,1.1,2.2,3.3,4.4,5.5
0.09,0,1.1,2.2,3.3,4.4,5.5
0.1,0,1.1,2.2,3.3,4.4,5.5
0.11,1,1.1,3.2,4.3,4.4,6.5
0.12,1,2.1,3.2,4.3,5.4,6.5
0.13,1,2.1,2.2,4.3,5.4,5.5
0.14,1,2.1,2.2,4.3,5.4,5.5
0.15,1,2.1,2.2,4.3,5.4,5.5
0.16,1,2.1,2.2,4.3,5.4,5.5
0.17,1,2.1,3.2,4.3,5.4,6.5
0.18,1,2.1,3.2,4.3,5.4,6.5
0.19,1,2.1,3.2,4.3,5.4,6.5
0.2,1,2.1,3.2,4.3,5.4,6.5
0.21,1,2.1,3.2,4.3,5.4,6.5
0.22,1,2.1,3.2,4.3,5.4,6.5
0.23,1,2.1,3.2,4.3,5.4,6.5
0.24,1,2.1,3.2,4.3,5.4,6.5
0.25,1,2.1,3.2,4.3,5.4,6.5
0.26,1,2.1,3.2,4.3,5.4,6.5
0.27,1,2.1,3.2,4.3,5.4,6.5
0.28,1,2.1,3.2,4.3,5.4,6.5
0.29,1,2.1,3.2,4.3,5.4,6.5
0.3,1,2.1,3.2,4.3,5.4,6.5
0.31,1,2.1,3.2,4.3,5.4,6.5
0.32,1,2.1,3.2,4.3,5.4,6.5
0.33,1,2.1,3.2,4.3,5.4,6.5
0.34,1,2.1,3.2,4.3,5.4,6.5
0.35,1,2.1,3.2,4.3,5.4,6.5
0.36,1,2.1,3.2,4.3,5.4,6.5
0.37,1,2.1,3.2,4.3,5.4,6.5
0.38,1,2.1,3.2,4.3,5.4,6.5
0.39,1,2.1,3.2,4.3,5.4,6.5
0.4,1,2.1,3.2,4.3,5.4,6.5
0.41,1,2.1,3.2,4.3,5.4,6.5
0.42,1,2.1,3.2,4.3,5.4,6.5
0.43,1,2.1,3.2,4.3,5.4,6.5
0.44,1,2.1,3.2,4.3,5.4,6.5
0.45,1,2.1,3.2,4.3,5.4,6.5
0.46,1,2.1,3.2,4.3,5.4,6.5
0.47,1,2.1,3.2,4.3,5.4,6.5
0.48,1,2.1,3.2,4.3,5.4,6.5
0.49,1,2.1,3.2,4.3,5.4,6.5
0.5,1,2.1,3.2,4.3,5.4,6.5
0.51,1,2.1,3.2,4.3,5.4,6.5
0.52,1,2.1,3.2,4.3,5.4,6.5
0.53,1,2.1,3.2,4.3,5.4,6.5
0.54,1,2.1,3.2,4.3,5.4,6.5
0.55,1,2.1,3.2,4.3,5.4,6.5
0.56,1,2.1,3.2,4.3,5.4,6.5
0.57,1,2.1,3.2,4.3,5.4,6.5
0.58,1,2.1,3.2,4.3,5.4,6.5
0.59,1,2.1,3.2,4.3,5.4,6.5
0.6,1,2.1,3.2,4.3,5.4,6.5
0.61,1,2.1,3.2,4.3,5.4,6.5
0.62,1,2.1,3.2,4.3,5.4,6.5
0.63,1,2.1,3.2,4.3,5.4,6.5
0.64,1,2.1,3.2,4.3,5.4,6.5
0.65,1,2.1,3.2,4.3,5.4,6.5
0.66,1,2.1,3.2,4.3,5.4,6.5
0.67,1,2.1,3.2,4.3,5.4,6.5
0.68,1,2.1,3.2,4.3,5.4,6.5
0.69,1,2.1,3.2,4.3,5.4,6.5
0.7,1,2.1,3.2,4.3,5.4,6.5
0.71,1,2.1,3.2,4.3,5.4,6.5
0.72,1,2.1,3.2,4.3,5.4,6.5
0.73,1,2.1,3.2,4.3,5.4,6.5
0.74,1,2.1,3.2,4.3,5.4,6.5
0.75,1,2.1,3.2,4.3,5.4,6.5
0.76,1,2.1,3.2,4.3,5.4,6.5
0.77,1,2.1,3.2,4.3,5.4,6.5
0.78,1,2.1,3.2,4.3,5.4,6.5
0.79,1,2.1,3.2,4.3,5.4,6.5
0.8,1,2.1,3.2,4.3,5.4,6.5
0.81,1,2.1,3.2,4.3,5.4,6.5
0.82,1,2.1,3.2,4.3,5.4,6.5
0.83,1,2.1,3.2,4.3,5.4,6.5
0.84,1,2.1,3.2,4.3,5.4,6.5
0.85,1,2.1,3.2,4.3,5.4,6.5
0.86,1,2.1,3.2,4.3,5.4,6.5
0.87,1,2.1,3.2,4.3,5.4,6.5
0.88,1,2.1,3.2,4.3,5.4,6.5
0.89,1,2.1,3.2,4.3,5.4,6.5
0.9,1,2.1,3.2,4.3,5.4,6.5
0.91,1,2.1,3.2,4.3,5.4,6.5
0.92,1,2.1,3.2,4.3,5.4,6.5
0.93,1,2.1,3.2,4.3,5.4,6.5
0.94,1,2.1,3.2,4.3,5.4,6.5
0.95,1,2.1,3.2,4.3,5.4,6.5
0.96,1,2.1,3.2,4.3,5.4,6.5
0.97,1,2.1,3.2,4.3,5.4,6.5
0.98,1,2.1,3.2,4.3,5.4,6.5
0.99,1,2.1,3.2,4.3,5.4,6.5
1,1,2.1,3.2,4.3,5.4,6.5
1.01,1,2.1,3.2,4.3,5.4,6.5
1.02,1,2.1,3.2,4.3,5.4,6.5
1.03,1,2.1,3.2,4.3,5.4,6.5
1.04,1,2.1,3.2,4.3,5.4,6.5
1.05,0,1.1,2.2,3.3,4.4,5.5
1.06,0,2.1,2.2,3.3,4.4,5.5
1.07,0,2.1,2.2,3.3,4.4,5.5
1.08,0,2.1,2.2,3.3,4.4,6.5
1.09,0,2.1,2.2,3.3,5.4,5.5
1.1,0,2.1,2.2,3.3,5.4,5.5
1.11,0,2.1,2.2,3.3,5.4,6.5
1.12,1,2.1,2.2,3.3,5.4,6.5
1.13,1,2.1,2.2,4.3,5.4,6.5
1.14,1,2.1,2.2,4.3,4.4,6.5
1.15,0,2.1,2.2,3.3,4.4,6.5
1.16,0,2.1,3.2,4.3,4.4,6.5
1.17,0,1.1,3.2,3.3,4.4,6.5
1.18,0,1.1,3.2,3.3,5.4,6.5
1.19,0,1.1,3.2,3.3,5.4,6.5
1.2,0,1.1,3.2,3.3,5.4,6.5
1.21,0,1.1,3.2,3.3,4.4,6.5
1.22,1,1.1,3.2,3.3,5.4,6.5
1.23,1,2.1,2.2,4.3,4.4,6.5
1.24,1,2.1,2.2,4.3,4.4,6.5
1.25,0,2.1,2.2,4.3,4.4,6.5
1.26,0,2.1,2.2,4.3,4.4,6.5
1.27,0,2.1,2.2,3.3,5.4,6.5
1.28,0,2.1,2.2,3.3,5.4,6.5
1.29,0,2.1,2.2,3.3,5.4,5.5
1.3,0,2.1,2.2,3.3,5.4,5.5
1.31,1,1.1,2.2,3.3,5.4,5.5
1.32,1,1.1,3.2,3.3,5.4,5.5
1.33,1,2.1,2.2,3.3,5.4,5.5
1.34,0,2.1,3.2,4.3,5.4,5.5
1.35,0,2.1,3.2,3.3,5.4,5.5
1.36,0,2.1,3.2,4.3,4.4,5.5
1.37,0,2.1,3.2,4.3,4.4,6.5
1.38,0,2.1,3.2,3.3,4.4,6.5
1.39,0,2.1,3.2,3.3,4.4,6.5
1.4,0,2.1,3.2,3.3,4.4,6.5
1.41,0,2.1,3.2,3.3,5.4,6.5
1.42,0,2.1,3.2,3.3,5.4,6.5
1.43,0,1.1,3.2,3.3,5.4,5.5
1.44,0,1.1,3.2,3.3,5.4,5.5
1.45,0,1.1,3.2,3.3,5.4,5.5
1.46,0,1.1,3.2,3.3,5.4,5.5
1.47,0,1.1,3.2,4.3,4.4,5.5
1.48,0,1.1,3.2,3.3,4.4,5.5
1.49,0,1.1,3.2,4.3,4.4,5.5
1.5,1,2.1,2.2,3.3,4.4,5.5
1.51,1,2.1,2.2,3.3,5.4,6.5
1.52,0,2.1,2.2,3.3,5.4,6.5
1.53,0,1.1,3.2,3.3,5.4,5.5
1.54,0,1.1,3.2,3.3,5.4,5.5
1.55,0,1.1,2.2,3.3,5.4,5.5
1.56,0,1.1,3.2,3.3,5.4,5.5
1.57,0,1.1,2.2,3.3,4.4,6.5
1.58,0,1.1,2.2,4.3,4.4,6.5
1.59,0,2.1,3.2,3.3,4.4,5.5
1.6,0,2.1,2.2,3.3,5.4,6.5
1.61,0,2.1,2.2,3.3,5.4,6.5
1.62,0,2.1,2.2,3.3,5.4,5.5
1.63,0,2.1,2.2,3.3,5.4,5.5
1.64,0,2.1,2.2,3.3,5.4,5.5
1.65,0,2.1,2.2,3.3,5.4,5.5
1.66,0,2.1,2.2,3.3,5.4,5.5
1.67,0,2.1,2.2,4.3,5.4,5.5
1.68,0,2.1,2.2,4.3,4.4,5.5
1.69,0,2.1,2.2,3.3,4.4,5.5
1.7,1,2.1,2.2,4.3,4.4,5.5
1.71,0,2.1,2.2,3.3,4.4,5.5
1.72,1,2.1,2.2,4.3,4.4,5.5
1.73,0,2.1,2.2,3.3,4.4,5.5
1.74,0,2.1,2.2,3.3,4.4,5.5
1.75,0,2.1,2.2,4.3,4.4,5.5
1.76,0,2.1,2.2,4.3,5.4,5.5
1.77,1,2.1,2.2,3.3,5.4,5.5
1.78,1,2.1,2.2,3.3,5.4,5.5
1.79,1,1.1,3.2,3.3,5.4,5.5
1.8,0,1.1,2.2,3.3,5.4,5.5
1.81,0,2.1,2.2,4.3,4.4,5.5
1.82,1,2.1,2.2,4.3,4.4,5.5
1.83,1,2.1,2.2,3.3,5.4,5.5
1.84,0,2.1,3.2,3.3,5.4,6.5
1.85,0,2.1,2.2,3.3,5.4,5.5
1.86,0,2.1,2.2,3.3,5.4,6.5
1.87,0,2.1,2.2,3.3,5.4,5.5
1.88,0,2.1,3.2,3.3,5.4,5.5
1.89,0,2.1,2.2,3.3,5.4,5.5
1.9,0,2.1,2.2,3.3,5.4,5.5
1.91,1,2.1,2.2,4.3,4.4,6.5
1.92,0,2.1,3.2,3.3,4.4,5.5
1.93,1,1.1,3.2,4.3,4.4,6.5
1.94,1,2.1,3.2,4.3,4.4,6.5
1.95,0,2.1,3.2,3.3,5.4,5.5
1.96,0,2.1,2.2,3.3,4.4,6.5
1.97,0,2.1,2.2,3.3,5.4,6.5
1.98,0,2.1,2.2,3.3,5.4,5.5
1.99,0,2.1,2.2,3.3,5.4,5.5
2,0,2.1,2.2,3.3,5.4,5.5
2.01,1,2.1,3.2,3.3,5.4,5.5
2.02,1,1.1,3.2,4.3,4.4,5.5
2.03,1,1.1,2.2,4.3,4.4,5.5
2.04,0,1.1,3.2,4.3,4.4,5.5
2.05,1,2.1,3.2,3.3,4.4,6.5
2.06,1,2.1,2.2,3.3,4.4,6.5
2.07,1,2.1,2.2,3.3,4.4,6.5
2.08,1,2.1,2.2,3.3,4.4,6.5
2.09,1,2.1,2.2,3.3,4.4,6.5
2.1,0,2.1,3.2,3.3,4.4,6.5
2.11,0,1.1,3.2,3.3,4.4,6.5
