Time (s),fs1 (User unit),fs2 (User unit),fs3 (User unit),fs4 (User unit),fs5 (User unit),fs6 (User unit)
0.010,0.0,+1.100e+00,+2.200e+00,+3.300e+00,+4.400e+00,+5.500e+00
0.020,0.0,+1.100e+00,+2.200e+00,+3.300e+00,+4.400e+00,+5.500e+00
0.030,0.0,+1.100e+00,+2.200e+00,+3.300e+00,+4.400e+00,+5.500e+00
0.040,0.0,+1.100e+00,+2.200e+00,+3.300e+00,+4.400e+00,+5.500e+00
0.050,0.0,+1.100e+00,+2.200e+00,+3.300e+00,+4.400e+00,+5.500e+00
0.060,0.0,+1.100e+00,+2.200e+00,+3.300e+00,+4.400e+00,+5.500e+00
0.070,0.0,+1.100e+00,+2.200e+00,+3.300e+00,+4.400e+00,+5.500e+00
0.080,0.0,+1.100e+00,+2.200e+00,+3.300e+00,+4.400e+00,+5.500e+00
0.090,0.0,+1.100e+00,+2.200e+00,+3.300e+00,+4.400e+00,+5.500e+00
0.100,0.0,+1.100e+00,+2.200e+00,+3.300e+00,+4.400e+00,+5.500e+00
0.110,+1.000e+00,+1.100e+00,+3.200e+00,+4.300e+00,+4.400e+00,+6.500e+00
0.120,+1.000e+00,+2.100e+00,+3.200e+00,+4.300e+00,+5.400e+00,+6.500e+00
0.130,+1.000e+00,+2.100e+00,+2.200e+00,+4.300e+00,+5.400e+00,+5.500e+00
0.140,+1.000e+00,+2.100e+00,+2.200e+00,+4.300e+00,+5.400e+00,+5.500e+00
0.150,+1.000e+00,+2.100e+00,+2.200e+00,+4.300e+00,+5.400e+00,+5.500e+00
0.160,+1.000e+00,+2.100e+00,+2.200e+00,+4.300e+00,+5.400e+00,+5.500e+00
0.170,+1.000e+00,+2.100e+00,+3.200e+00,+4.300e+00,+5.400e+00,+6.500e+00
0.180,+1.000e+00,+2.100e+00,+3.200e+00,+4.300e+00,+5.400e+00,+6.500e+00
0.190,+1.000e+00,+2.100e+00,+3.200e+00,+4.300e+00,+5.400e+00,+6.500e+00
0.200,+1.000e+00,+2.100e+00,+3.200e+00,+4.300e+00,+5.400e+00,+6.500e+00
0.210,+1.000e+00,+2.100e+00,+3.200e+00,+4.300e+00,+5.400e+00,+6.500e+00
0.220,+1.000e+00,+2.100e+00,+3.200e+00,+4.300e+00,+5.400e+00,+6.500e+00
0.230,+1.000e+00,+2.100e+00,+3.200e+00,+4.300e+00,+5.400e+00,+6.500e+00
