__time,/sim_ros_interface/topic/forwardModel/data[0],/sim_ros_interface/topic/forwardModel/data[10],/sim_ros_interface/topic/forwardModel/data[11],/sim_ros_interface/topic/forwardModel/data[12],/sim_ros_interface/topic/forwardModel/data[13],/sim_ros_interface/topic/forwardModel/data[14],/sim_ros_interface/topic/forwardModel/data[15],/sim_ros_interface/topic/forwardModel/data[16],/sim_ros_interface/topic/forwardModel/data[17],/sim_ros_interface/topic/forwardModel/data[18],/sim_ros_interface/topic/forwardModel/data[19],/sim_ros_interface/topic/forwardModel/data[1],/sim_ros_interface/topic/forwardModel/data[20],/sim_ros_interface/topic/forwardModel/data[21],/sim_ros_interface/topic/forwardModel/data[22],/sim_ros_interface/topic/forwardModel/data[23],/sim_ros_interface/topic/forwardModel/data[24],/sim_ros_interface/topic/forwardModel/data[25],/sim_ros_interface/topic/forwardModel/data[26],/sim_ros_interface/topic/forwardModel/data[27],/sim_ros_interface/topic/forwardModel/data[28],/sim_ros_interface/topic/forwardModel/data[29],/sim_ros_interface/topic/forwardModel/data[2],/sim_ros_interface/topic/forwardModel/data[30],/sim_ros_interface/topic/forwardModel/data[31],/sim_ros_interface/topic/forwardModel/data[32],/sim_ros_interface/topic/forwardModel/data[33],/sim_ros_interface/topic/forwardModel/data[34],/sim_ros_interface/topic/forwardModel/data[35],/sim_ros_interface/topic/forwardModel/data[36],/sim_ros_interface/topic/forwardModel/data[37],/sim_ros_interface/topic/forwardModel/data[38],/sim_ros_interface/topic/forwardModel/data[39],/sim_ros_interface/topic/forwardModel/data[3],/sim_ros_interface/topic/forwardModel/data[40],/sim_ros_interface/topic/forwardModel/data[41],/sim_ros_interface/topic/forwardModel/data[42],/sim_ros_interface/topic/forwardModel/data[43],/sim_ros_interface/topic/forwardModel/data[44],/sim_ros_interface/topic/forwardModel/data[45],/sim_ros_interface/topic/forwardModel/data[46],/sim_ros_interface/topic/forwardModel/data[47],/sim_ros_interface/topic/forwardModel/data[48],/sim_ros_interface/topic/forwardModel/data[4],/sim_ros_interface/topic/forwardModel/data[5],/sim_ros_interface/topic/forwardModel/data[6],/sim_ros_interface/topic/forwardModel/data[7],/sim_ros_interface/topic/forwardModel/data[8],/sim_ros_interface/topic/forwardModel/data[9],/sim_ros_interface/topic/forwardModel/layout/data_offset,/sim_ros_interface/topic/sfweights/data[0],/sim_ros_interface/topic/sfweights/data[1],/sim_ros_interface/topic/sfweights/data[2],/sim_ros_interface/topic/sfweights/data[3],/sim_ros_interface/topic/sfweights/data[4],/sim_ros_interface/topic/sfweights/data[5],/sim_ros_interface/topic/sfweights/layout/data_offset
1716562127.207911,0.000000000,1.000000000,0.056707524,1.000000000,33.465419769,-0.000816708,0.000699626,1.000000000,0.000000000,1.000000000,0.068537898,0.000000000,1.000000000,-0.053218924,-0.000669666,0.000810300,0.000000000,0.000000000,0.000000000,0.150998861,0.000000000,0.059500679,0.000000000,0.001494910,0.006144303,1.000000000,0.000000000,1.000000000,0.057161249,1.000000000,32.366596222,-0.000816708,0.000699626,0.148824483,1.000000000,0.000000000,1.000000000,0.069310606,1.000000000,-0.128015682,-0.000669666,0.000810300,0.170000000,0.000000000,-0.098383598,0.001494910,0.006144303,1.000000000,0.000000000,0.000000000,,,,,,,
1716562127.207949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.148824483,0.056707524,0.068537898,0.150998861,0.057161249,0.069310606,0.000000000
1716562127.241132,1.000000000,1.000000000,0.053820428,1.000000000,0.042787381,-0.000631700,0.000300228,1.000000000,0.000000000,1.000000000,0.067887083,1.000000000,1.000000000,0.191650942,-0.000805270,0.000325629,1.000000000,1.000000000,0.000000000,0.149027601,1.000000000,0.217673421,0.000000000,-0.005116054,0.002766196,1.000000000,0.000000000,1.000000000,0.054273248,1.000000000,0.072304383,-0.000631700,0.000300228,0.146857589,1.000000000,0.000000000,1.000000000,0.068658277,1.000000000,-0.109516487,-0.000805270,0.000325629,0.170000000,1.000000000,0.173569322,-0.005116054,0.002766196,1.000000000,0.000000000,0.000000000,,,,,,,
1716562127.241164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.146857589,0.053820428,0.067887083,0.149027601,0.054273248,0.068658277,0.000000000
1716562127.274461,0.000000000,1.000000000,0.052131791,1.000000000,25.665067673,-0.000328945,0.000111476,1.000000000,0.000000000,1.000000000,0.067458481,0.000000000,1.000000000,-0.061688844,-0.000663732,0.000028821,0.000000000,0.000000000,0.000000000,0.154178083,0.000000000,0.025320614,0.000000000,0.023115335,0.008870938,1.000000000,0.000000000,1.000000000,0.052583702,1.000000000,25.396017075,-0.000328945,0.000111476,0.152012393,1.000000000,0.000000000,1.000000000,0.068228140,1.000000000,-0.067124188,-0.000663732,0.000028821,0.170000000,0.000000000,0.019596983,0.023115335,0.008870938,1.000000000,0.000000000,0.000000000,,,,,,,
1716562127.274493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.152012393,0.052131791,0.067458481,0.154178083,0.052583702,0.068228140,0.000000000
1716562127.308082,0.000000000,1.000000000,0.051126357,1.000000000,25.606382370,-0.000088134,0.000051593,1.000000000,1.000000000,0.000000000,0.067156650,0.000000000,1.000000000,0.114617139,-0.000454530,-0.000116184,0.000000000,0.000000000,0.000000000,0.150759384,0.000000000,-0.008954632,0.000000000,0.080937967,0.030491045,1.000000000,0.000000000,1.000000000,0.051577367,1.000000000,25.474977493,-0.000088134,0.000051593,0.148598030,1.000000000,1.000000000,0.000000000,0.067924783,1.000000000,-0.191765949,-0.000454530,-0.000116184,0.170000000,0.000000000,0.154725894,0.080937967,0.030491045,1.000000000,0.000000000,0.000000000,,,,,,,
1716562127.308111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.148598030,0.051126357,0.067156650,0.150759384,0.051577367,0.067924783,0.000000000
1716562127.341124,0.000000000,1.000000000,0.050510440,1.000000000,-0.109526291,0.000118870,0.000071776,1.000000000,0.000000000,1.000000000,0.073327191,0.000000000,1.000000000,74.302284241,-0.000228026,-0.000149737,0.000000000,0.000000000,0.000000000,0.148684964,0.000000000,-0.096886970,0.000000000,0.167010874,0.071446992,1.000000000,0.000000000,1.000000000,0.050960548,1.000000000,0.018120231,0.000118870,0.000071776,0.146527946,1.000000000,0.000000000,1.000000000,0.074093796,1.000000000,72.970466614,-0.000228026,-0.000149737,0.170000000,0.000000000,0.054461796,0.167010874,0.071446992,1.000000000,0.000000000,0.000000000,,,,,,,
1716562127.341162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.146527946,0.050510440,0.073327191,0.148684964,0.050960548,0.074093796,0.000000000
