Series,Current,Min,Max,Average
Start Time,-1.79769e+308
End Time,1.79769e+308
Current Time,1.71656e+09
/sim_ros_interface/topic/forwardModel/data[0],0.000000,0.000000,1.000000,0.053333
/sim_ros_interface/topic/forwardModel/data[10],1.000000,0.000000,1.000000,0.373333
/sim_ros_interface/topic/forwardModel/data[11],0.053829,0.047524,0.067231,0.052987
/sim_ros_interface/topic/forwardModel/data[12],0.000000,0.000000,1.000000,0.266667
/sim_ros_interface/topic/forwardModel/data[13],4.411583,-0.233659,505.273651,28.914647
/sim_ros_interface/topic/forwardModel/data[14],0.000020,-0.000817,1.592992,0.469949
/sim_ros_interface/topic/forwardModel/data[15],0.008804,0.000051,1.471763,0.469845
/sim_ros_interface/topic/forwardModel/data[16],0.000000,0.000000,1.000000,0.253333
/sim_ros_interface/topic/forwardModel/data[17],1.000000,0.000000,1.000000,0.293333
/sim_ros_interface/topic/forwardModel/data[18],1.000000,0.000000,1.000000,0.493333
/sim_ros_interface/topic/forwardModel/data[19],0.070820,0.064372,0.082321,0.070586
/sim_ros_interface/topic/forwardModel/data[1],1.000000,0.000000,1.000000,0.673333
/sim_ros_interface/topic/forwardModel/data[20],0.000000,0.000000,1.000000,0.253333
/sim_ros_interface/topic/forwardModel/data[21],0.037863,-0.303192,199.614899,39.275567
/sim_ros_interface/topic/forwardModel/data[22],0.000018,-0.000808,1.592836,0.447006
/sim_ros_interface/topic/forwardModel/data[23],0.008761,-0.000150,1.429875,0.446903
/sim_ros_interface/topic/forwardModel/data[24],0.000000,0.000000,1.000000,0.053333
/sim_ros_interface/topic/forwardModel/data[25],1.000000,0.000000,1.000000,0.686667
/sim_ros_interface/topic/forwardModel/data[26],1.000000,0.000000,1.000000,0.686667
/sim_ros_interface/topic/forwardModel/data[27],0.159303,0.141688,0.159303,0.153252
/sim_ros_interface/topic/forwardModel/data[28],0.000000,0.000000,1.000000,0.053333
/sim_ros_interface/topic/forwardModel/data[29],34.637405,-0.186054,364.979095,38.773469
/sim_ros_interface/topic/forwardModel/data[2],1.000000,0.000000,1.000000,0.673333
/sim_ros_interface/topic/forwardModel/data[30],0.000038,-0.006649,1.674790,0.726112
/sim_ros_interface/topic/forwardModel/data[31],0.008786,0.002766,1.609781,0.726059
/sim_ros_interface/topic/forwardModel/data[32],0.000000,0.000000,1.000000,0.266667
/sim_ros_interface/topic/forwardModel/data[33],1.000000,0.000000,1.000000,0.206667
/sim_ros_interface/topic/forwardModel/data[34],1.000000,0.000000,1.000000,0.380000
/sim_ros_interface/topic/forwardModel/data[35],0.053865,0.047560,0.067279,0.052957
/sim_ros_interface/topic/forwardModel/data[36],0.000000,0.000000,1.000000,0.266667
/sim_ros_interface/topic/forwardModel/data[37],4.123349,-0.185648,549.365906,30.149600
/sim_ros_interface/topic/forwardModel/data[38],0.000020,-0.000817,1.592992,0.469949
/sim_ros_interface/topic/forwardModel/data[39],0.008804,0.000051,1.471763,0.469845
/sim_ros_interface/topic/forwardModel/data[3],0.157004,0.139392,0.157004,0.150785
/sim_ros_interface/topic/forwardModel/data[40],0.000000,0.000000,1.000000,0.253333
/sim_ros_interface/topic/forwardModel/data[41],1.000000,0.000000,1.000000,0.220000
/sim_ros_interface/topic/forwardModel/data[42],1.000000,0.000000,1.000000,0.420000
/sim_ros_interface/topic/forwardModel/data[43],0.067658,0.061381,0.082224,0.067998
/sim_ros_interface/topic/forwardModel/data[44],0.000000,0.000000,1.000000,0.253333
/sim_ros_interface/topic/forwardModel/data[45],-0.078094,-0.226475,199.183182,35.246463
/sim_ros_interface/topic/forwardModel/data[46],0.000018,-0.000808,1.592836,0.447006
/sim_ros_interface/topic/forwardModel/data[47],0.008761,-0.000150,1.429875,0.446903
/sim_ros_interface/topic/forwardModel/data[48],0.170000,0.170000,0.170000,0.170000
/sim_ros_interface/topic/forwardModel/data[4],0.000000,0.000000,1.000000,0.053333
/sim_ros_interface/topic/forwardModel/data[5],-0.101673,-0.294342,365.621246,38.384898
/sim_ros_interface/topic/forwardModel/data[6],0.000038,-0.006649,1.674790,0.726112
/sim_ros_interface/topic/forwardModel/data[7],0.008786,0.002766,1.609781,0.726059
/sim_ros_interface/topic/forwardModel/data[8],0.000000,0.000000,1.000000,0.266667
/sim_ros_interface/topic/forwardModel/data[9],1.000000,0.000000,1.000000,0.213333
/sim_ros_interface/topic/forwardModel/layout/data_offset,0.000000,0.000000,0.000000,0.000000
/sim_ros_interface/topic/sfweights/data[0],0.157004,0.139392,0.157004,0.150785
/sim_ros_interface/topic/sfweights/data[1],0.053829,0.047524,0.067231,0.052987
/sim_ros_interface/topic/sfweights/data[2],0.070820,0.064372,0.082321,0.070586
/sim_ros_interface/topic/sfweights/data[3],0.159303,0.141688,0.159303,0.153252
/sim_ros_interface/topic/sfweights/data[4],0.053865,0.047560,0.067279,0.052957
/sim_ros_interface/topic/sfweights/data[5],0.067658,0.061381,0.082224,0.067998
/sim_ros_interface/topic/sfweights/layout/data_offset,0.000000,0.000000,0.000000,0.000000
