Time (s),sf1,sf2,sf3,sf4,sf5,sf6
2.72,0.0,0.0,0.0,0.0,0.0,0.0
2.73,0.0,0.0,0.0,0.0,0.0,0.0
2.75,0.0,0.0,0.0,0.0,0.0,0.0
2.77,0.0,0.0,0.0,0.0,0.0,0.0
2.78,0.0,0.0,0.0,0.0,0.0,0.0
2.8,0.0,0.0,0.0,0.0,0.0,0.0
2.81,0.0,0.0,0.0,0.0,0.0,0.0
2.82,0.0,0.0,0.0,0.0,0.0,0.0
2.84,0.0,0.0,0.0,0.0,0.0,0.0
2.85,0.0,0.0,0.0,0.0,0.0,0.0
2.86,0.0,0.0,0.0,0.0,0.0,0.0
2.88,0.0,0.0,0.0,0.0,0.0,0.0
2.89,0.0,0.0,0.0,0.0,0.0,0.0
2.91,0.0,0.0,0.0,0.0,0.0,0.0
2.93,0.0,0.0,0.0,0.0,0.0,0.0
2.94,0.0,0.0,0.0,0.0,0.0,0.0
2.95,0.0,0.0,0.0,0.0,0.0,0.0
2.97,0.0,0.0,0.0,0.0,0.0,0.0
2.98,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0
3.01,0.0,0.0,0.0,0.0,0.0,0.0
3.03,0.0,0.0,0.0,0.0,0.0,0.0
3.04,0.0,0.0,0.0,0.0,0.0,0.0
3.05,0.0,0.0,0.0,0.0,0.0,0.0
3.07,0.0,0.0,0.0,+6.400e-03,0.0,0.0
3.09,0.0,+6.400e-03,0.0,+1.022e-02,+6.400e-03,0.0
3.1,+6.400e-03,+1.022e-02,0.0,+1.257e-02,+1.022e-02,0.0
3.11,+1.022e-02,+1.257e-02,0.0,+1.408e-02,+1.257e-02,0.0
3.13,+1.257e-02,+1.408e-02,+6.400e-03,+1.511e-02,+7.676e-03,+6.400e-03
3.14,+1.408e-02,+1.511e-02,+1.022e-02,+1.586e-02,+1.129e-02,+1.022e-02
3.15,+1.511e-02,+1.586e-02,+1.257e-02,+1.006e-02,+1.352e-02,+1.257e-02
3.17,+9.463e-03,+1.646e-02,+1.408e-02,+6.756e-03,+1.496e-02,+1.408e-02
3.18,+6.245e-03,+1.698e-02,+1.511e-02,+4.869e-03,+1.595e-02,+1.511e-02
3.2,+4.409e-03,+1.104e-02,+1.586e-02,+3.791e-03,+1.668e-02,+1.586e-02
3.21,+3.360e-03,+1.405e-02,+1.646e-02,+3.175e-03,+1.727e-02,+1.646e-02
3.22,+2.761e-03,+1.593e-02,+1.698e-02,+2.822e-03,+1.777e-02,+1.698e-02
3.23,+2.418e-03,+1.718e-02,+1.744e-02,+2.618e-03,+1.822e-02,+1.744e-02
3.25,+2.221e-03,+1.805e-02,+1.787e-02,+2.500e-03,+1.865e-02,+1.147e-02
3.26,+8.506e-03,+1.872e-02,+1.188e-02,+2.431e-03,+1.906e-02,+8.062e-03
3.28,+1.226e-02,+1.927e-02,+8.465e-03,+2.389e-03,+1.946e-02,+6.118e-03
3.29,+1.457e-02,+1.974e-02,+6.515e-03,+2.364e-03,+1.986e-02,+5.006e-03
3.31,+1.605e-02,+1.378e-02,+5.400e-03,+2.347e-03,+2.025e-02,+4.370e-03
3.33,+1.067e-02,+1.038e-02,+4.761e-03,+2.336e-03,+2.064e-02,+4.004e-03
3.34,+7.593e-03,+1.484e-02,+4.394e-03,+2.327e-03,+2.103e-02,+3.793e-03
3.36,+1.224e-02,+1.754e-02,+4.181e-03,+2.320e-03,+2.141e-02,+3.669e-03
3.37,+1.506e-02,+1.925e-02,+4.056e-03,+2.314e-03,+2.180e-02,+3.596e-03
3.38,+1.683e-02,+2.039e-02,+3.982e-03,+2.309e-03,+2.218e-02,+3.551e-03
3.39,+1.801e-02,+2.120e-02,+3.936e-03,+2.304e-03,+2.257e-02,+3.522e-03
3.41,+1.884e-02,+2.183e-02,+3.907e-03,+2.299e-03,+2.295e-02,+3.503e-03
3.42,+1.949e-02,+2.236e-02,+3.886e-03,+8.694e-03,+2.333e-02,+3.489e-03
3.44,+2.002e-02,+2.282e-02,+3.872e-03,+1.251e-02,+2.371e-02,+3.478e-03
3.45,+2.049e-02,+2.325e-02,+3.860e-03,+1.485e-02,+2.410e-02,+3.469e-03
3.47,+2.093e-02,+1.725e-02,+3.850e-03,+1.636e-02,+2.448e-02,+3.460e-03
3.48,+2.134e-02,+1.383e-02,+3.841e-03,+1.738e-02,+1.845e-02,+3.453e-03
3.49,+2.174e-02,+1.187e-02,+3.833e-03,+1.813e-02,+1.501e-02,+3.445e-03
3.5,+2.214e-02,+1.075e-02,+3.824e-03,+1.873e-02,+1.304e-02,+3.438e-03
3.52,+2.252e-02,+1.010e-02,+3.817e-03,+1.924e-02,+1.191e-02,+3.431e-03
3.53,+2.291e-02,+9.718e-03,+3.809e-03,+1.969e-02,+1.126e-02,+3.424e-03
3.55,+2.329e-02,+9.494e-03,+3.801e-03,+2.012e-02,+1.087e-02,+3.418e-03
3.56,+2.368e-02,+1.576e-02,+3.793e-03,+2.053e-02,+1.065e-02,+3.411e-03
3.57,+2.406e-02,+1.309e-02,+3.786e-03,+2.093e-02,+1.691e-02,+3.404e-03
3.59,+2.444e-02,+1.157e-02,+1.018e-02,+2.132e-02,+1.424e-02,+3.397e-03
3.61,+1.842e-02,+1.069e-02,+1.399e-02,+1.531e-02,+1.271e-02,+3.390e-03
3.62,+2.138e-02,+1.018e-02,+9.930e-03,+1.188e-02,+1.183e-02,+9.783e-03
3.63,+2.322e-02,+9.879e-03,+7.612e-03,+9.916e-03,+1.132e-02,+1.360e-02
3.65,+2.529e-02,+9.591e-03,+5.528e-03,+1.454e-02,+1.084e-02,+1.104e-02
3.67,+1.954e-02,+9.520e-03,+5.091e-03,+1.799e-02,+1.073e-02,+8.243e-03
3.68,+2.265e-02,+9.472e-03,+4.838e-03,+2.011e-02,+1.065e-02,+6.646e-03
3.69,+2.459e-02,+9.436e-03,+4.690e-03,+2.149e-02,+1.700e-02,+5.731e-03
3.71,+2.585e-02,+9.408e-03,+4.602e-03,+2.244e-02,+2.078e-02,+5.206e-03
3.73,+2.673e-02,+9.384e-03,+4.548e-03,+2.315e-02,+2.310e-02,+4.903e-03
3.74,+2.099e-02,+9.362e-03,+4.513e-03,+2.371e-02,+2.458e-02,+4.726e-03
3.76,+1.771e-02,+1.574e-02,+4.490e-03,+2.419e-02,+2.559e-02,+1.102e-02
3.77,+1.583e-02,+1.954e-02,+1.087e-02,+1.823e-02,+2.632e-02,+8.377e-03
3.78,+1.475e-02,+2.187e-02,+1.468e-02,+1.483e-02,+2.690e-02,+6.866e-03
3.8,+1.412e-02,+2.336e-02,+1.701e-02,+1.288e-02,+2.739e-02,+1.240e-02
3.81,+1.375e-02,+2.437e-02,+1.851e-02,+1.176e-02,+2.783e-02,+1.572e-02
3.83,+1.352e-02,+2.511e-02,+1.953e-02,+1.111e-02,+2.824e-02,+1.778e-02
3.85,+1.978e-02,+2.569e-02,+2.028e-02,+1.713e-02,+2.863e-02,+1.912e-02
3.86,+2.351e-02,+2.618e-02,+2.087e-02,+2.073e-02,+2.902e-02,+2.005e-02
3.87,+2.580e-02,+2.663e-02,+2.138e-02,+2.294e-02,+2.299e-02,+2.075e-02
3.89,+2.825e-02,+2.743e-02,+1.203e-02,+2.533e-02,+1.757e-02,+2.180e-02
3.9,+2.258e-02,+2.782e-02,+1.009e-02,+1.965e-02,+2.283e-02,+2.224e-02
3.92,+1.933e-02,+2.820e-02,+8.973e-03,+1.640e-02,+2.599e-02,+2.265e-02
3.93,+1.746e-02,+2.858e-02,+8.332e-03,+1.453e-02,+2.794e-02,+2.305e-02
3.95,+1.639e-02,+2.895e-02,+7.960e-03,+1.346e-02,+2.922e-02,+2.345e-02
3.97,+1.576e-02,+2.932e-02,+7.741e-03,+1.284e-02,+3.010e-02,+1.743e-02
3.98,+1.539e-02,+2.969e-02,+1.401e-02,+1.247e-02,+3.076e-02,+1.400e-02
3.99,+1.517e-02,+3.006e-02,+1.775e-02,+1.225e-02,+3.130e-02,+1.843e-02
4.01,+1.503e-02,+3.043e-02,+2.004e-02,+1.212e-02,+3.176e-02,+2.112e-02
4.02,+1.494e-02,+2.439e-02,+2.152e-02,+1.203e-02,+3.217e-02,+2.282e-02
4.04,+1.487e-02,+2.094e-02,+2.252e-02,+1.197e-02,+3.257e-02,+2.395e-02
4.05,+1.482e-02,+1.896e-02,+2.325e-02,+1.193e-02,+2.655e-02,+2.475e-02
4.07,+1.478e-02,+1.781e-02,+2.384e-02,+1.189e-02,+2.950e-02,+2.537e-02
4.08,+1.474e-02,+1.715e-02,+2.433e-02,+1.186e-02,+3.134e-02,+2.589e-02
4.09,+1.471e-02,+1.676e-02,+2.478e-02,+1.184e-02,+3.254e-02,+2.634e-02
4.11,+1.468e-02,+1.652e-02,+2.519e-02,+1.181e-02,+3.338e-02,+2.677e-02
4.13,+1.465e-02,+2.277e-02,+2.559e-02,+1.178e-02,+3.402e-02,+2.717e-02
4.14,+2.102e-02,+2.649e-02,+2.598e-02,+1.816e-02,+2.813e-02,+2.755e-02
4.15,+2.481e-02,+2.876e-02,+2.636e-02,+2.196e-02,+2.476e-02,+2.793e-02
4.16,+2.713e-02,+3.022e-02,+2.034e-02,+2.428e-02,+2.282e-02,+2.831e-02
4.17,+2.861e-02,+2.480e-02,+1.690e-02,+2.577e-02,+2.170e-02,+2.869e-02
4.19,+2.961e-02,+2.810e-02,+1.493e-02,+2.677e-02,+2.104e-02,+2.266e-02
4.21,+3.033e-02,+3.014e-02,+1.379e-02,+2.751e-02,+2.705e-02,+1.921e-02
4.22,+3.091e-02,+2.506e-02,+1.313e-02,+2.808e-02,+3.063e-02,+1.723e-02
4.24,+3.139e-02,+2.214e-02,+1.915e-02,+2.217e-02,+3.282e-02,+1.609e-02
4.25,+3.182e-02,+2.047e-02,+2.274e-02,+1.879e-02,+2.782e-02,+2.183e-02
4.26,+3.222e-02,+1.949e-02,+2.494e-02,+1.685e-02,+2.496e-02,+2.526e-02
4.28,+3.261e-02,+1.893e-02,+2.636e-02,+1.573e-02,+2.330e-02,+2.737e-02
4.29,+3.298e-02,+1.859e-02,+2.093e-02,+1.508e-02,+2.235e-02,+2.233e-02
4.31,+3.335e-02,+1.838e-02,+1.782e-02,+1.470e-02,+2.178e-02,+1.945e-02
4.32,+3.372e-02,+1.824e-02,+1.604e-02,+1.447e-02,+2.144e-02,+1.779e-02
4.33,+3.408e-02,+2.455e-02,+1.501e-02,+1.433e-02,+2.763e-02,+1.683e-02
4.35,+3.444e-02,+2.830e-02,+2.081e-02,+1.423e-02,+2.491e-02,+2.267e-02
4.37,+3.516e-02,+2.566e-02,+1.619e-02,+2.434e-02,+2.883e-02,+1.808e-02
4.39,+3.552e-02,+2.282e-02,+2.162e-02,+2.664e-02,+3.211e-02,+2.352e-02
4.4,+3.587e-02,+2.119e-02,+2.487e-02,+2.172e-02,+3.413e-02,+2.677e-02
4.41,+2.983e-02,+2.665e-02,+2.689e-02,+1.890e-02,+3.544e-02,+2.878e-02
4.43,+2.637e-02,+2.991e-02,+2.819e-02,+1.728e-02,+3.633e-02,+3.009e-02
4.44,+2.437e-02,+3.193e-02,+2.910e-02,+1.634e-02,+3.699e-02,+3.099e-02
4.45,+2.962e-02,+3.323e-02,+2.977e-02,+1.579e-02,+3.752e-02,+3.166e-02
4.47,+3.276e-02,+3.413e-02,+3.031e-02,+1.547e-02,+3.798e-02,+3.219e-02
4.49,+3.471e-02,+3.479e-02,+3.078e-02,+1.527e-02,+3.199e-02,+3.265e-02
4.5,+3.596e-02,+2.892e-02,+3.120e-02,+1.514e-02,+2.855e-02,+3.307e-02
4.51,+3.683e-02,+3.196e-02,+3.160e-02,+1.506e-02,+3.297e-02,+3.347e-02
4.53,+3.108e-02,+3.385e-02,+3.198e-02,+1.500e-02,+3.564e-02,+2.745e-02
4.54,+2.778e-02,+3.507e-02,+3.235e-02,+1.495e-02,+3.091e-02,+3.040e-02
4.55,+2.588e-02,+3.592e-02,+3.272e-02,+1.491e-02,+3.460e-02,+3.223e-02
4.57,+2.478e-02,+3.656e-02,+3.309e-02,+1.487e-02,+3.685e-02,+3.344e-02
4.58,+2.413e-02,+3.708e-02,+3.345e-02,+1.484e-02,+3.828e-02,+3.427e-02
4.6,+2.374e-02,+3.752e-02,+3.381e-02,+1.481e-02,+3.925e-02,+2.851e-02
4.61,+2.350e-02,+3.793e-02,+3.417e-02,+1.478e-02,+3.995e-02,+2.520e-02
4.62,+2.334e-02,+3.831e-02,+3.453e-02,+1.475e-02,+4.049e-02,+2.330e-02
4.64,+2.323e-02,+3.868e-02,+3.489e-02,+1.472e-02,+4.095e-02,+2.860e-02
4.65,+2.315e-02,+3.904e-02,+3.525e-02,+1.469e-02,+4.137e-02,+3.177e-02
4.66,+2.308e-02,+3.939e-02,+3.561e-02,+1.466e-02,+4.175e-02,+3.373e-02
4.68,+2.302e-02,+3.334e-02,+3.597e-02,+1.463e-02,+4.211e-02,+3.500e-02
4.69,+2.297e-02,+2.988e-02,+3.632e-02,+1.460e-02,+4.247e-02,+3.588e-02
4.7,+2.292e-02,+2.788e-02,+3.668e-02,+1.457e-02,+3.642e-02,+3.653e-02
4.72,+2.287e-02,+2.672e-02,+3.703e-02,+1.454e-02,+3.295e-02,+3.705e-02
4.73,+2.282e-02,+2.603e-02,+3.739e-02,+1.451e-02,+3.094e-02,+3.750e-02
4.75,+2.278e-02,+2.562e-02,+3.774e-02,+1.448e-02,+2.977e-02,+3.791e-02
4.76,+2.273e-02,+3.176e-02,+3.809e-02,+1.446e-02,+2.909e-02,+3.829e-02
4.77,+2.269e-02,+3.542e-02,+3.844e-02,+1.443e-02,+2.867e-02,+3.866e-02
