Time (s),sf1 (User unit),sf2 (User unit),sf3 (User unit),sf4 (User unit),sf5 (User unit),sf6 (User unit)
2.720,0.0,0.0,0.0,0.0,0.0,0.0
2.730,0.0,0.0,0.0,0.0,0.0,0.0
2.740,Null,Null,Null,Null,Null,Null
2.750,0.0,0.0,0.0,0.0,0.0,0.0
2.760,Null,Null,Null,Null,Null,Null
2.770,0.0,0.0,0.0,0.0,0.0,0.0
2.780,0.0,0.0,0.0,0.0,0.0,0.0
2.790,Null,Null,Null,Null,Null,Null
2.800,0.0,0.0,0.0,0.0,0.0,0.0
2.810,0.0,0.0,0.0,0.0,0.0,0.0
2.820,0.0,0.0,0.0,0.0,0.0,0.0
2.830,Null,Null,Null,Null,Null,Null
2.840,0.0,0.0,0.0,0.0,0.0,0.0
2.850,0.0,0.0,0.0,0.0,0.0,0.0
2.860,0.0,0.0,0.0,0.0,0.0,0.0
2.870,Null,Null,Null,Null,Null,Null
2.880,0.0,0.0,0.0,0.0,0.0,0.0
2.890,0.0,0.0,0.0,0.0,0.0,0.0
2.900,Null,Null,Null,Null,Null,Null
2.910,0.0,0.0,0.0,0.0,0.0,0.0
2.920,Null,Null,Null,Null,Null,Null
2.930,0.0,0.0,0.0,0.0,0.0,0.0
2.940,0.0,0.0,0.0,0.0,0.0,0.0
2.950,0.0,0.0,0.0,0.0,0.0,0.0
2.960,Null,Null,Null,Null,Null,Null
2.970,0.0,0.0,0.0,0.0,0.0,0.0
2.980,0.0,0.0,0.0,0.0,0.0,0.0
2.990,Null,Null,Null,Null,Null,Null
3.000,0.0,0.0,0.0,0.0,0.0,0.0
3.010,0.0,0.0,0.0,0.0,0.0,0.0
3.020,Null,Null,Null,Null,Null,Null
3.030,0.0,0.0,0.0,0.0,0.0,0.0
3.040,0.0,0.0,0.0,0.0,0.0,0.0
3.050,0.0,0.0,0.0,0.0,0.0,0.0
3.060,Null,Null,Null,Null,Null,Null
3.070,0.0,0.0,0.0,+6.400e-03,0.0,0.0
3.080,Null,Null,Null,Null,Null,Null
3.090,0.0,+6.400e-03,0.0,+1.022e-02,+6.400e-03,0.0
3.100,+6.400e-03,+1.022e-02,0.0,+1.257e-02,+1.022e-02,0.0
3.110,+1.022e-02,+1.257e-02,0.0,+1.408e-02,+1.257e-02,0.0
3.120,Null,Null,Null,Null,Null,Null
3.130,+1.257e-02,+1.408e-02,+6.400e-03,+1.511e-02,+7.676e-03,+6.400e-03
3.140,+1.408e-02,+1.511e-02,+1.022e-02,+1.586e-02,+1.129e-02,+1.022e-02
3.150,+1.511e-02,+1.586e-02,+1.257e-02,+1.006e-02,+1.352e-02,+1.257e-02
3.160,Null,Null,Null,Null,Null,Null
3.170,+9.463e-03,+1.646e-02,+1.408e-02,+6.756e-03,+1.496e-02,+1.408e-02
3.180,+6.245e-03,+1.698e-02,+1.511e-02,+4.869e-03,+1.595e-02,+1.511e-02
3.190,Null,Null,Null,Null,Null,Null
3.200,+4.409e-03,+1.104e-02,+1.586e-02,+3.791e-03,+1.668e-02,+1.586e-02
3.210,+3.360e-03,+1.405e-02,+1.646e-02,+3.175e-03,+1.727e-02,+1.646e-02
3.220,+2.761e-03,+1.593e-02,+1.698e-02,+2.822e-03,+1.777e-02,+1.698e-02
3.230,+2.418e-03,+1.718e-02,+1.744e-02,+2.618e-03,+1.822e-02,+1.744e-02
3.240,Null,Null,Null,Null,Null,Null
3.250,+2.221e-03,+1.805e-02,+1.787e-02,+2.500e-03,+1.865e-02,+1.147e-02
3.260,+8.506e-03,+1.872e-02,+1.188e-02,+2.431e-03,+1.906e-02,+8.062e-03
3.270,Null,Null,Null,Null,Null,Null
3.280,+1.226e-02,+1.927e-02,+8.465e-03,+2.389e-03,+1.946e-02,+6.118e-03
3.290,+1.457e-02,+1.974e-02,+6.515e-03,+2.364e-03,+1.986e-02,+5.006e-03
3.300,Null,Null,Null,Null,Null,Null
3.310,+1.605e-02,+1.378e-02,+5.400e-03,+2.347e-03,+2.025e-02,+4.370e-03
3.320,Null,Null,Null,Null,Null,Null
3.330,+1.067e-02,+1.038e-02,+4.761e-03,+2.336e-03,+2.064e-02,+4.004e-03
3.340,+7.593e-03,+1.484e-02,+4.394e-03,+2.327e-03,+2.103e-02,+3.793e-03
3.350,Null,Null,Null,Null,Null,Null
3.360,+1.224e-02,+1.754e-02,+4.181e-03,+2.320e-03,+2.141e-02,+3.669e-03
3.370,+1.506e-02,+1.925e-02,+4.056e-03,+2.314e-03,+2.180e-02,+3.596e-03
3.380,+1.683e-02,+2.039e-02,+3.982e-03,+2.309e-03,+2.218e-02,+3.551e-03
3.390,+1.801e-02,+2.120e-02,+3.936e-03,+2.304e-03,+2.257e-02,+3.522e-03
3.400,Null,Null,Null,Null,Null,Null
3.410,+1.884e-02,+2.183e-02,+3.907e-03,+2.299e-03,+2.295e-02,+3.503e-03
3.420,+1.949e-02,+2.236e-02,+3.886e-03,+8.694e-03,+2.333e-02,+3.489e-03
3.430,Null,Null,Null,Null,Null,Null
3.440,+2.002e-02,+2.282e-02,+3.872e-03,+1.251e-02,+2.371e-02,+3.478e-03
3.450,+2.049e-02,+2.325e-02,+3.860e-03,+1.485e-02,+2.410e-02,+3.469e-03
3.460,Null,Null,Null,Null,Null,Null
3.470,+2.093e-02,+1.725e-02,+3.850e-03,+1.636e-02,+2.448e-02,+3.460e-03
3.480,+2.134e-02,+1.383e-02,+3.841e-03,+1.738e-02,+1.845e-02,+3.453e-03
3.490,+2.174e-02,+1.187e-02,+3.833e-03,+1.813e-02,+1.501e-02,+3.445e-03
3.500,+2.214e-02,+1.075e-02,+3.824e-03,+1.873e-02,+1.304e-02,+3.438e-03
3.510,Null,Null,Null,Null,Null,Null
3.520,+2.252e-02,+1.010e-02,+3.817e-03,+1.924e-02,+1.191e-02,+3.431e-03
3.530,+2.291e-02,+9.718e-03,+3.809e-03,+1.969e-02,+1.126e-02,+3.424e-03
3.540,Null,Null,Null,Null,Null,Null
3.550,+2.329e-02,+9.494e-03,+3.801e-03,+2.012e-02,+1.087e-02,+3.418e-03
3.560,+2.368e-02,+1.576e-02,+3.793e-03,+2.053e-02,+1.065e-02,+3.411e-03
3.570,+2.406e-02,+1.309e-02,+3.786e-03,+2.093e-02,+1.691e-02,+3.404e-03
3.580,Null,Null,Null,Null,Null,Null
3.590,+2.444e-02,+1.157e-02,+1.018e-02,+2.132e-02,+1.424e-02,+3.397e-03
3.600,Null,Null,Null,Null,Null,Null
3.610,+1.842e-02,+1.069e-02,+1.399e-02,+1.531e-02,+1.271e-02,+3.390e-03
3.620,+2.138e-02,+1.018e-02,+9.930e-03,+1.188e-02,+1.183e-02,+9.783e-03
3.630,+2.322e-02,+9.879e-03,+7.612e-03,+9.916e-03,+1.132e-02,+1.360e-02
3.640,Null,Null,Null,Null,Null,Null
3.650,+2.529e-02,+9.591e-03,+5.528e-03,+1.454e-02,+1.084e-02,+1.104e-02
3.660,Null,Null,Null,Null,Null,Null
3.670,+1.954e-02,+9.520e-03,+5.091e-03,+1.799e-02,+1.073e-02,+8.243e-03
3.680,+2.265e-02,+9.472e-03,+4.838e-03,+2.011e-02,+1.065e-02,+6.646e-03
3.690,+2.459e-02,+9.436e-03,+4.690e-03,+2.149e-02,+1.700e-02,+5.731e-03
3.700,Null,Null,Null,Null,Null,Null
3.710,+2.585e-02,+9.408e-03,+4.602e-03,+2.244e-02,+2.078e-02,+5.206e-03
3.720,Null,Null,Null,Null,Null,Null
3.730,+2.673e-02,+9.384e-03,+4.548e-03,+2.315e-02,+2.310e-02,+4.903e-03
3.740,+2.099e-02,+9.362e-03,+4.513e-03,+2.371e-02,+2.458e-02,+4.726e-03
3.750,Null,Null,Null,Null,Null,Null
3.760,+1.771e-02,+1.574e-02,+4.490e-03,+2.419e-02,+2.559e-02,+1.102e-02
3.770,+1.583e-02,+1.954e-02,+1.087e-02,+1.823e-02,+2.632e-02,+8.377e-03
3.780,+1.475e-02,+2.187e-02,+1.468e-02,+1.483e-02,+2.690e-02,+6.866e-03
3.790,Null,Null,Null,Null,Null,Null
3.800,+1.412e-02,+2.336e-02,+1.701e-02,+1.288e-02,+2.739e-02,+1.240e-02
3.810,+1.375e-02,+2.437e-02,+1.851e-02,+1.176e-02,+2.783e-02,+1.572e-02
3.820,Null,Null,Null,Null,Null,Null
3.830,+1.352e-02,+2.511e-02,+1.953e-02,+1.111e-02,+2.824e-02,+1.778e-02
3.840,Null,Null,Null,Null,Null,Null
3.850,+1.978e-02,+2.569e-02,+2.028e-02,+1.713e-02,+2.863e-02,+1.912e-02
3.860,+2.351e-02,+2.618e-02,+2.087e-02,+2.073e-02,+2.902e-02,+2.005e-02
3.870,+2.580e-02,+2.663e-02,+2.138e-02,+2.294e-02,+2.299e-02,+2.075e-02
3.880,Null,Null,Null,Null,Null,Null
3.890,+2.825e-02,+2.743e-02,+1.203e-02,+2.533e-02,+1.757e-02,+2.180e-02
3.900,+2.258e-02,+2.782e-02,+1.009e-02,+1.965e-02,+2.283e-02,+2.224e-02
3.910,Null,Null,Null,Null,Null,Null
3.920,+1.933e-02,+2.820e-02,+8.973e-03,+1.640e-02,+2.599e-02,+2.265e-02
3.930,+1.746e-02,+2.858e-02,+8.332e-03,+1.453e-02,+2.794e-02,+2.305e-02
3.940,Null,Null,Null,Null,Null,Null
3.950,+1.639e-02,+2.895e-02,+7.960e-03,+1.346e-02,+2.922e-02,+2.345e-02
3.960,Null,Null,Null,Null,Null,Null
3.970,+1.576e-02,+2.932e-02,+7.741e-03,+1.284e-02,+3.010e-02,+1.743e-02
3.980,+1.539e-02,+2.969e-02,+1.401e-02,+1.247e-02,+3.076e-02,+1.400e-02
3.990,+1.517e-02,+3.006e-02,+1.775e-02,+1.225e-02,+3.130e-02,+1.843e-02
4.000,Null,Null,Null,Null,Null,Null
4.010,+1.503e-02,+3.043e-02,+2.004e-02,+1.212e-02,+3.176e-02,+2.112e-02
4.020,+1.494e-02,+2.439e-02,+2.152e-02,+1.203e-02,+3.217e-02,+2.282e-02
4.030,Null,Null,Null,Null,Null,Null
4.040,+1.487e-02,+2.094e-02,+2.252e-02,+1.197e-02,+3.257e-02,+2.395e-02
4.050,+1.482e-02,+1.896e-02,+2.325e-02,+1.193e-02,+2.655e-02,+2.475e-02
4.060,Null,Null,Null,Null,Null,Null
4.070,+1.478e-02,+1.781e-02,+2.384e-02,+1.189e-02,+2.950e-02,+2.537e-02
4.080,+1.474e-02,+1.715e-02,+2.433e-02,+1.186e-02,+3.134e-02,+2.589e-02
4.090,+1.471e-02,+1.676e-02,+2.478e-02,+1.184e-02,+3.254e-02,+2.634e-02
4.100,Null,Null,Null,Null,Null,Null
4.110,+1.468e-02,+1.652e-02,+2.519e-02,+1.181e-02,+3.338e-02,+2.677e-02
4.120,Null,Null,Null,Null,Null,Null
4.130,+1.465e-02,+2.277e-02,+2.559e-02,+1.178e-02,+3.402e-02,+2.717e-02
4.140,+2.102e-02,+2.649e-02,+2.598e-02,+1.816e-02,+2.813e-02,+2.755e-02
4.150,+2.481e-02,+2.876e-02,+2.636e-02,+2.196e-02,+2.476e-02,+2.793e-02
4.160,+2.713e-02,+3.022e-02,+2.034e-02,+2.428e-02,+2.282e-02,+2.831e-02
4.170,+2.861e-02,+2.480e-02,+1.690e-02,+2.577e-02,+2.170e-02,+2.869e-02
4.180,Null,Null,Null,Null,Null,Null
4.190,+2.961e-02,+2.810e-02,+1.493e-02,+2.677e-02,+2.104e-02,+2.266e-02
4.200,Null,Null,Null,Null,Null,Null
4.210,+3.033e-02,+3.014e-02,+1.379e-02,+2.751e-02,+2.705e-02,+1.921e-02
4.220,+3.091e-02,+2.506e-02,+1.313e-02,+2.808e-02,+3.063e-02,+1.723e-02
4.230,Null,Null,Null,Null,Null,Null
4.240,+3.139e-02,+2.214e-02,+1.915e-02,+2.217e-02,+3.282e-02,+1.609e-02
