cpg0,cpg1
-0.5281,0.8782
-0.5213,0.8780
-0.5152,0.8777
-0.5096,0.8775
-0.5047,0.8773
-0.5002,0.8772
-0.4962,0.8770
-0.4926,0.8769
-0.4893,0.8768
-0.4864,0.8767
-0.4838,0.8766
-0.4762,0.8761
-0.4693,0.8757
-0.4631,0.8753
-0.4576,0.8750
-0.4526,0.8747
-0.4481,0.8745
-0.4440,0.8742
-0.4404,0.8740
-0.4371,0.8738
-0.4341,0.8736
-0.4315,0.8735
-0.4229,0.8729
-0.4151,0.8724
-0.4081,0.8720
-0.4018,0.8716
-0.3962,0.8712
-0.3911,0.8709
-0.3865,0.8706
-0.3824,0.8703
-0.3786,0.8701
-0.3753,0.8699
-0.3723,0.8697
-0.3618,0.8690
-0.3523,0.8684
-0.3438,0.8678
-0.3361,0.8673
-0.3292,0.8669
-0.3230,0.8665
-0.3174,0.8661
-0.3124,0.8658
-0.3078,0.8655
-0.3038,0.8653
-0.3001,0.8650
-0.2865,0.8641
-0.2742,0.8634
-0.2632,0.8627
-0.2533,0.8620
-0.2443,0.8615
-0.2363,0.8610
-0.2290,0.8605
-0.2225,0.8601
-0.2167,0.8597
-0.2114,0.8594
-0.2067,0.8591
-0.1882,0.8579
-0.1717,0.8568
-0.1568,0.8559
-0.1433,0.8550
-0.1313,0.8543
-0.1204,0.8536
-0.1106,0.8529
-0.1018,0.8524
-0.0939,0.8519
-0.0867,0.8514
-0.0609,0.8497
-0.0376,0.8481
-0.0167,0.8467
0.0021,0.8455
0.0191,0.8443
0.0343,0.8433
0.0481,0.8424
0.0604,0.8416
0.0715,0.8408
0.0815,0.8401
0.0905,0.8395
0.1230,0.8370
0.1523,0.8346
0.1786,0.8326
0.2023,0.8307
0.2236,0.8290
0.2428,0.8275
0.2600,0.8261
0.2756,0.8249
0.2895,0.8238
0.3021,0.8228
0.3371,0.8188
0.3686,0.8153
0.3969,0.8121
0.4224,0.8092
0.4454,0.8066
0.4661,0.8043
0.4846,0.8022
0.5014,0.8003
0.5164,0.7986
0.5300,0.7971
0.5422,0.7957
0.5681,0.7904
0.5915,0.7856
0.6125,0.7813
0.6314,0.7775
0.6484,0.7740
0.6637,0.7709
0.6775,0.7681
0.6899,0.7656
0.7011,0.7633
0.7111,0.7612
0.7202,0.7594
0.7344,0.7534
0.7472,0.7479
0.7587,0.7430
0.7691,0.7386
0.7784,0.7347
0.7869,0.7311
0.7944,0.7279
0.8012,0.7250
0.8074,0.7225
0.8129,0.7201
0.8178,0.7180
0.8241,0.7121
0.8297,0.7067
0.8348,0.7019
0.8394,0.6976
0.8435,0.6937
0.8472,0.6902
0.8506,0.6870
0.8536,0.6842
0.8563,0.6816
0.8587,0.6793
0.8609,0.6773
0.8632,0.6718
0.8653,0.6669
0.8672,0.6625
0.8689,0.6585
0.8704,0.6549
0.8718,0.6517
0.8730,0.6488
0.8741,0.6462
0.8751,0.6439
0.8760,0.6418
0.8767,0.6367
0.8774,0.6320
0.8780,0.6279
0.8785,0.6242
0.8790,0.6208
0.8795,0.6178
0.8799,0.6151
0.8802,0.6126
0.8805,0.6104
0.8808,0.6084
0.8811,0.6066
0.8811,0.6020
0.8812,0.5979
0.8812,0.5941
0.8812,0.5908
0.8813,0.5878
0.8813,0.5850
0.8813,0.5826
0.8813,0.5804
0.8814,0.5784
0.8814,0.5766
0.8812,0.5721
0.8810,0.5680
0.8808,0.5643
0.8807,0.5610
0.8806,0.5581
0.8804,0.5554
0.8803,0.5530
0.8802,0.5508
0.8802,0.5489
0.8801,0.5471
0.8800,0.5455
0.8797,0.5412
0.8795,0.5372
0.8792,0.5337
0.8790,0.5305
0.8788,0.5276
0.8787,0.5250
0.8785,0.5227
0.8784,0.5206
0.8783,0.5187
0.8782,0.5170
0.8781,0.5155
0.8777,0.5110
0.8775,0.5069
0.8772,0.5033
0.8770,0.5000
0.8767,0.4970
0.8766,0.4944
0.8764,0.4920
0.8762,0.4898
0.8761,0.4879
0.8760,0.4862
0.8759,0.4846
0.8755,0.4797
0.8752,0.4754
0.8749,0.4715
0.8747,0.4679
0.8744,0.4647
0.8742,0.4619
0.8741,0.4593
0.8739,0.4570
0.8737,0.4549
0.8736,0.4530
0.8732,0.4474
0.8729,0.4424
0.8725,0.4378
0.8722,0.4337
0.8720,0.4300
0.8718,0.4267
0.8715,0.4237
0.8714,0.4210
0.8712,0.4186
0.8710,0.4164
0.8709,0.4145
0.8705,0.4081
0.8701,0.4023
0.8697,0.3970
0.8694,0.3924
0.8691,0.3881
0.8688,0.3843
0.8686,0.3809
0.8684,0.3778
0.8682,0.3751
0.8680,0.3726
0.8675,0.3645
0.8670,0.3573
0.8666,0.3508
0.8662,0.3449
0.8658,0.3396
0.8655,0.3349
0.8652,0.3306
0.8650,0.3268
0.8647,0.3233
0.8645,0.3202
0.8643,0.3174
0.8637,0.3073
0.8631,0.2983
0.8626,0.2902
0.8621,0.2829
0.8617,0.2763
0.8613,0.2704
0.8609,0.2650
0.8606,0.2602
0.8603,0.2559
0.8601,0.2520
0.8592,0.2384
0.8584,0.2262
0.8577,0.2152
0.8570,0.2053
0.8565,0.1964
0.8560,0.1883
0.8555,0.1811
0.8551,0.1746
0.8547,0.1687
0.8544,0.1635
0.8540,0.1587
0.8529,0.1405
0.8518,0.1242
0.8508,0.1094
0.8500,0.0961
0.8492,0.0842
0.8485,0.0734
0.8478,0.0638
0.8473,0.0551
0.8468,0.0472
0.8463,0.0402
0.8459,0.0338
0.8442,0.0091
0.8426,-0.0131
0.8412,-0.0331
0.8399,-0.0511
0.8388,-0.0672
0.8378,-0.0818
0.8369,-0.0949
0.8360,-0.1067
0.8353,-0.1174
0.8346,-0.1269
0.8340,-0.1355
0.8314,-0.1665
0.8291,-0.1944
0.8270,-0.2195
0.8250,-0.2421
0.8233,-0.2624
0.8218,-0.2807
0.8204,-0.2971
0.8192,-0.3119
0.8180,-0.3253
0.8170,-0.3373
0.8161,-0.3481
0.8122,-0.3796
0.8088,-0.4080
0.8056,-0.4336
0.8028,-0.4566
0.8003,-0.4773
0.7980,-0.4959
0.7959,-0.5127
0.7941,-0.5278
0.7924,-0.5413
0.7909,-0.5536
0.7856,-0.5782
0.7808,-0.6003
0.7765,-0.6203
0.7726,-0.6382
0.7692,-0.6544
0.7660,-0.6689
0.7632,-0.6820
0.7607,-0.6938
0.7584,-0.7043
0.7563,-0.7139
0.7545,-0.7225
0.7486,-0.7359
0.7433,-0.7479
0.7386,-0.7587
0.7343,-0.7685
0.7304,-0.7773
0.7270,-0.7852
0.7238,-0.7923
0.7210,-0.7987
0.7185,-0.8044
0.7162,-0.8096
0.7103,-0.8160
0.7049,-0.8218
0.7001,-0.8270
0.6958,-0.8317
0.6919,-0.8359
0.6884,-0.8397
0.6852,-0.8431
0.6824,-0.8462
0.6798,-0.8489
0.6775,-0.8514
0.6754,-0.8536
0.6701,-0.8560
0.6653,-0.8582
0.6610,-0.8601
0.6571,-0.8618
0.6536,-0.8634
0.6505,-0.8648
0.6476,-0.8660
0.6451,-0.8672
0.6428,-0.8682
0.6407,-0.8691
0.6389,-0.8699
0.6341,-0.8706
0.6298,-0.8712
0.6259,-0.8718
0.6224,-0.8723
0.6193,-0.8727
0.6164,-0.8731
0.6139,-0.8735
0.6116,-0.8738
0.6095,-0.8741
