TR0,CR0,FR0
0.0807,0.4830,-1.9500
0.0810,0.4864,-1.9520
0.0817,0.4898,-1.9540
0.0826,0.4931,-1.9560
0.0837,0.4965,-1.9579
0.0851,0.4998,-1.9598
0.0867,0.5031,-1.9617
0.0884,0.5063,-1.9636
0.0904,0.5096,-1.9654
0.0924,0.5129,-1.9672
0.0946,0.5161,-1.9689
0.0969,0.5194,-1.9707
0.0993,0.5226,-1.9724
0.1018,0.5259,-1.9741
0.1044,0.5291,-1.9757
0.1071,0.5323,-1.9773
0.1098,0.5355,-1.9789
0.1126,0.5387,-1.9805
0.1155,0.5420,-1.9820
0.1184,0.5452,-1.9835
0.1213,0.5484,-1.9850
0.1243,0.5516,-1.9864
0.1273,0.5548,-1.9877
0.1303,0.5579,-1.9891
0.1334,0.5611,-1.9904
0.1364,0.5643,-1.9918
0.1396,0.5675,-1.9931
0.1427,0.5706,-1.9944
0.1458,0.5738,-1.9956
0.1490,0.5770,-1.9969
0.1522,0.5801,-1.9981
0.1554,0.5833,-1.9994
0.1585,0.5864,-2.0006
0.1617,0.5896,-2.0017
0.1650,0.5927,-2.0029
0.1682,0.5959,-2.0041
0.1713,0.5992,-2.0053
0.1744,0.6025,-2.0065
0.1774,0.6059,-2.0077
0.1804,0.6093,-2.0090
0.1834,0.6128,-2.0103
0.1864,0.6163,-2.0115
0.1893,0.6198,-2.0128
0.1921,0.6234,-2.0141
0.1950,0.6271,-2.0154
0.1978,0.6307,-2.0168
0.2006,0.6344,-2.0181
0.2034,0.6381,-2.0194
0.2062,0.6418,-2.0206
0.2090,0.6456,-2.0219
0.2117,0.6493,-2.0232
0.2144,0.6531,-2.0245
0.2171,0.6568,-2.0257
0.2198,0.6606,-2.0270
0.2225,0.6644,-2.0282
0.2252,0.6682,-2.0295
0.2279,0.6720,-2.0307
0.2306,0.6758,-2.0319
0.2332,0.6796,-2.0331
0.2359,0.6835,-2.0342
0.2385,0.6873,-2.0354
0.2411,0.6911,-2.0365
0.2438,0.6949,-2.0376
0.2464,0.6987,-2.0387
0.2490,0.7025,-2.0398
0.2516,0.7064,-2.0409
0.2542,0.7102,-2.0419
0.2568,0.7140,-2.0430
0.2594,0.7178,-2.0440
0.2620,0.7216,-2.0450
0.2646,0.7254,-2.0459
0.2672,0.7292,-2.0469
0.2697,0.7330,-2.0478
0.2723,0.7368,-2.0487
0.2749,0.7405,-2.0496
0.2776,0.7442,-2.0504
0.2802,0.7478,-2.0512
0.2829,0.7515,-2.0519
0.2856,0.7551,-2.0526
0.2882,0.7586,-2.0533
0.2909,0.7622,-2.0539
0.2936,0.7657,-2.0546
0.2963,0.7692,-2.0552
0.2990,0.7727,-2.0557
0.3018,0.7761,-2.0562
0.3045,0.7796,-2.0568
0.3072,0.7830,-2.0572
0.3099,0.7864,-2.0577
0.3126,0.7898,-2.0581
0.3154,0.7932,-2.0585
0.3181,0.7966,-2.0589
0.3208,0.7999,-2.0592
0.3235,0.8033,-2.0596
0.3263,0.8066,-2.0599
0.3290,0.8099,-2.0602
0.3317,0.8132,-2.0604
0.3344,0.8165,-2.0607
0.3371,0.8197,-2.0609
0.3398,0.8230,-2.0611
0.3425,0.8262,-2.0612
0.3452,0.8295,-2.0614
0.3479,0.8327,-2.0615
0.3506,0.8359,-2.0616
0.3533,0.8391,-2.0617
0.3560,0.8423,-2.0618
0.3586,0.8455,-2.0618
0.3613,0.8486,-2.0619
0.3639,0.8518,-2.0619
0.3666,0.8550,-2.0619
0.3692,0.8583,-2.0620
0.3718,0.8615,-2.0621
0.3744,0.8648,-2.0621
0.3770,0.8680,-2.0622
0.3796,0.8711,-2.0621
0.3821,0.8744,-2.0620
0.3847,0.8776,-2.0620
0.3873,0.8808,-2.0620
0.3898,0.8840,-2.0619
0.3923,0.8871,-2.0618
0.3949,0.8903,-2.0616
0.3974,0.8935,-2.0615
0.3999,0.8966,-2.0613
0.4024,0.8997,-2.0611
0.4049,0.9028,-2.0609
0.4074,0.9059,-2.0606
0.4098,0.9090,-2.0604
0.4123,0.9120,-2.0600
0.4147,0.9150,-2.0596
0.4172,0.9180,-2.0592
0.4196,0.9210,-2.0587
0.4220,0.9240,-2.0583
0.4244,0.9269,-2.0578
0.4269,0.9299,-2.0574
0.4293,0.9328,-2.0569
0.4317,0.9358,-2.0564
0.4341,0.9387,-2.0559
0.4365,0.9416,-2.0553
0.4389,0.9445,-2.0548
0.4413,0.9474,-2.0542
0.4436,0.9502,-2.0536
0.4460,0.9531,-2.0530
0.4484,0.9559,-2.0524
0.4507,0.9588,-2.0517
0.4531,0.9616,-2.0511
0.4555,0.9643,-2.0503
0.4579,0.9669,-2.0495
0.4604,0.9694,-2.0487
0.4629,0.9719,-2.0478
0.4654,0.9743,-2.0468
0.4680,0.9766,-2.0458
0.4705,0.9788,-2.0448
0.4731,0.9810,-2.0437
0.4757,0.9831,-2.0425
0.4783,0.9851,-2.0414
0.4810,0.9872,-2.0402
0.4836,0.9891,-2.0389
0.4862,0.9911,-2.0376
0.4889,0.9930,-2.0363
0.4915,0.9948,-2.0350
0.4941,0.9966,-2.0336
0.4968,0.9984,-2.0322
0.4994,1.0002,-2.0308
0.5021,1.0019,-2.0294
0.5047,1.0036,-2.0279
0.5074,1.0053,-2.0264
0.5100,1.0069,-2.0249
0.5126,1.0085,-2.0233
0.5153,1.0101,-2.0218
0.5179,1.0117,-2.0202
0.5205,1.0132,-2.0186
0.5231,1.0147,-2.0169
0.5258,1.0162,-2.0153
0.5284,1.0177,-2.0136
0.5310,1.0191,-2.0119
0.5336,1.0205,-2.0101
0.5362,1.0220,-2.0084
0.5388,1.0233,-2.0066
0.5414,1.0245,-2.0048
0.5441,1.0255,-2.0028
0.5467,1.0265,-2.0009
0.5494,1.0274,-1.9989
0.5522,1.0281,-1.9968
0.5549,1.0288,-1.9947
0.5576,1.0294,-1.9925
0.5604,1.0299,-1.9903
0.5631,1.0304,-1.9881
0.5659,1.0308,-1.9858
0.5687,1.0312,-1.9835
0.5714,1.0315,-1.9811
0.5742,1.0317,-1.9788
0.5770,1.0319,-1.9764
0.5797,1.0321,-1.9739
0.5825,1.0322,-1.9715
0.5853,1.0323,-1.9690
0.5880,1.0323,-1.9665
0.5908,1.0324,-1.9640
0.5935,1.0324,-1.9614
0.5963,1.0323,-1.9588
0.5990,1.0322,-1.9563
