tr2,cr2,fr2
-0.5121,-0.1298,-0.7649
-0.5103,-0.1266,-0.7650
-0.5153,-0.1309,-0.7661
-0.5125,-0.1333,-0.7679
-0.5090,-0.1350,-0.7704
-0.5107,-0.1281,-0.7734
-0.5092,-0.1211,-0.7770
-0.5090,-0.1190,-0.7811
-0.5065,-0.1114,-0.7855
-0.5064,-0.1064,-0.7904
-0.5083,-0.1101,-0.7955
-0.5079,-0.1010,-0.8009
-0.5086,-0.0930,-0.8065
-0.5097,-0.0841,-0.8124
-0.5114,-0.0754,-0.8183
-0.5128,-0.0668,-0.8244
-0.5142,-0.0583,-0.8307
-0.5154,-0.0500,-0.8370
-0.5164,-0.0417,-0.8434
-0.5174,-0.0336,-0.8498
-0.5182,-0.0255,-0.8563
-0.5190,-0.0175,-0.8630
-0.5196,-0.0096,-0.8697
-0.5201,-0.0017,-0.8765
-0.5205,0.0061,-0.8833
-0.5209,0.0139,-0.8902
-0.5211,0.0216,-0.8971
-0.5214,0.0293,-0.9040
-0.5215,0.0369,-0.9109
-0.5216,0.0445,-0.9178
-0.5215,0.0520,-0.9248
-0.5212,0.0594,-0.9319
-0.5207,0.0667,-0.9392
-0.5200,0.0739,-0.9465
-0.5192,0.0811,-0.9540
-0.5182,0.0882,-0.9615
-0.5170,0.0951,-0.9690
-0.5157,0.1022,-0.9770
-0.5144,0.1092,-0.9850
-0.5129,0.1162,-0.9929
-0.5113,0.1230,-1.0008
-0.5097,0.1297,-1.0086
-0.5079,0.1363,-1.0164
-0.5060,0.1428,-1.0241
-0.5041,0.1492,-1.0318
-0.5021,0.1555,-1.0394
-0.5001,0.1618,-1.0469
-0.4979,0.1680,-1.0544
-0.4958,0.1741,-1.0619
-0.4936,0.1802,-1.0693
-0.4913,0.1862,-1.0766
-0.4890,0.1921,-1.0836
-0.4867,0.1979,-1.0906
-0.4843,0.2038,-1.0975
-0.4819,0.2095,-1.1044
-0.4795,0.2153,-1.1113
-0.4771,0.2211,-1.1182
-0.4747,0.2268,-1.1250
-0.4722,0.2325,-1.1318
-0.4697,0.2382,-1.1385
-0.4673,0.2439,-1.1452
-0.4647,0.2495,-1.1518
-0.4622,0.2550,-1.1584
-0.4596,0.2604,-1.1649
-0.4569,0.2657,-1.1714
-0.4543,0.2710,-1.1778
-0.4516,0.2762,-1.1841
-0.4488,0.2813,-1.1903
-0.4461,0.2864,-1.1965
-0.4433,0.2914,-1.2026
-0.4405,0.2965,-1.2087
-0.4377,0.3015,-1.2148
-0.4349,0.3065,-1.2208
-0.4321,0.3116,-1.2268
-0.4293,0.3166,-1.2328
-0.4266,0.3217,-1.2387
-0.4238,0.3267,-1.2445
-0.4210,0.3318,-1.2504
-0.4182,0.3368,-1.2562
-0.4154,0.3418,-1.2619
-0.4126,0.3468,-1.2676
-0.4098,0.3518,-1.2733
-0.4070,0.3568,-1.2789
-0.4042,0.3618,-1.2844
-0.4013,0.3668,-1.2900
-0.3985,0.3718,-1.2955
-0.3957,0.3767,-1.3009
-0.3928,0.3816,-1.3063
-0.3900,0.3865,-1.3116
-0.3871,0.3914,-1.3169
-0.3842,0.3963,-1.3222
-0.3814,0.4011,-1.3274
-0.3785,0.4060,-1.3326
-0.3756,0.4108,-1.3377
-0.3727,0.4156,-1.3428
-0.3698,0.4204,-1.3478
-0.3669,0.4251,-1.3528
-0.3639,0.4299,-1.3578
-0.3610,0.4346,-1.3627
-0.3580,0.4392,-1.3675
-0.3550,0.4438,-1.3723
-0.3520,0.4483,-1.3770
-0.3490,0.4528,-1.3817
-0.3459,0.4572,-1.3863
-0.3428,0.4616,-1.3909
-0.3397,0.4659,-1.3954
-0.3366,0.4702,-1.3999
-0.3335,0.4744,-1.4043
-0.3303,0.4786,-1.4087
-0.3272,0.4828,-1.4130
-0.3240,0.4869,-1.4173
-0.3208,0.4910,-1.4215
-0.3175,0.4950,-1.4256
-0.3143,0.4990,-1.4297
-0.3110,0.5029,-1.4338
-0.3078,0.5068,-1.4378
-0.3045,0.5107,-1.4418
-0.3012,0.5145,-1.4457
-0.2978,0.5183,-1.4496
-0.2945,0.5221,-1.4535
-0.2912,0.5258,-1.4572
-0.2878,0.5295,-1.4610
-0.2845,0.5332,-1.4647
-0.2811,0.5369,-1.4684
-0.2778,0.5406,-1.4721
-0.2744,0.5443,-1.4757
-0.2710,0.5480,-1.4793
-0.2676,0.5517,-1.4828
-0.2643,0.5553,-1.4863
-0.2609,0.5590,-1.4898
-0.2575,0.5626,-1.4932
-0.2540,0.5660,-1.4965
-0.2506,0.5693,-1.4998
-0.2471,0.5724,-1.5029
-0.2435,0.5754,-1.5059
-0.2399,0.5783,-1.5089
-0.2364,0.5811,-1.5118
-0.2327,0.5838,-1.5147
-0.2291,0.5864,-1.5174
-0.2254,0.5890,-1.5201
-0.2218,0.5915,-1.5230
-0.2181,0.5940,-1.5257
-0.2144,0.5964,-1.5284
-0.2107,0.5987,-1.5310
-0.2070,0.6010,-1.5335
-0.2033,0.6033,-1.5361
-0.1997,0.6059,-1.5386
-0.1963,0.6087,-1.5413
-0.1929,0.6118,-1.5439
-0.1896,0.6150,-1.5466
-0.1863,0.6184,-1.5494
-0.1832,0.6220,-1.5521
-0.1801,0.6257,-1.5549
-0.1771,0.6295,-1.5577
-0.1741,0.6335,-1.5605
-0.1711,0.6374,-1.5632
-0.1680,0.6412,-1.5659
-0.1648,0.6448,-1.5683
-0.1616,0.6482,-1.5707
-0.1583,0.6516,-1.5731
-0.1550,0.6549,-1.5754
-0.1516,0.6581,-1.5776
-0.1482,0.6612,-1.5798
-0.1448,0.6642,-1.5819
-0.1413,0.6671,-1.5840
-0.1378,0.6700,-1.5861
-0.1342,0.6729,-1.5881
-0.1307,0.6756,-1.5901
-0.1271,0.6784,-1.5920
-0.1234,0.6811,-1.5939
-0.1198,0.6837,-1.5958
-0.1162,0.6862,-1.5976
-0.1125,0.6886,-1.5992
-0.1087,0.6908,-1.6009
-0.1050,0.6929,-1.6024
-0.1012,0.6948,-1.6039
-0.0974,0.6967,-1.6053
-0.0936,0.6984,-1.6066
-0.0897,0.7001,-1.6079
-0.0859,0.7017,-1.6091
-0.0820,0.7032,-1.6103
-0.0781,0.7046,-1.6114
-0.0742,0.7060,-1.6124
-0.0703,0.7073,-1.6134
-0.0664,0.7087,-1.6144
-0.0625,0.7100,-1.6154
-0.0585,0.7113,-1.6163
-0.0546,0.7127,-1.6172
-0.0507,0.7140,-1.6181
-0.0468,0.7154,-1.6190
-0.0428,0.7167,-1.6198
-0.0389,0.7181,-1.6206
-0.0350,0.7194,-1.6214
-0.0310,0.7207,-1.6222
-0.0271,0.7220,-1.6229
-0.0232,0.7232,-1.6235
-0.0192,0.7243,-1.6241
-0.0153,0.7253,-1.6246
-0.0113,0.7262,-1.6250
-0.0073,0.7270,-1.6254
-0.0033,0.7276,-1.6257
0.0007,0.7282,-1.6260
0.0047,0.7288,-1.6262
0.0087,0.7292,-1.6263
0.0127,0.7296,-1.6264
0.0167,0.7299,-1.6264
0.0207,0.7302,-1.6264
0.0247,0.7304,-1.6263
0.0287,0.7306,-1.6262
0.0327,0.7307,-1.6260
0.0367,0.7307,-1.6258
0.0407,0.7308,-1.6256
0.0447,0.7308,-1.6253
0.0488,0.7307,-1.6249
0.0528,0.7306,-1.6246
0.0568,0.7305,-1.6241
0.0608,0.7304,-1.6237
0.0648,0.7302,-1.6232
0.0688,0.7300,-1.6227
0.0728,0.7298,-1.6221
0.0769,0.7295,-1.6215
0.0809,0.7292,-1.6208
0.0849,0.7289,-1.6202
0.0889,0.7287,-1.6195
0.0928,0.7285,-1.6188
0.0968,0.7284,-1.6181
0.1008,0.7283,-1.6174
0.1048,0.7283,-1.6167
0.1087,0.7283,-1.6160
0.1127,0.7283,-1.6153
0.1167,0.7284,-1.6145
0.1206,0.7284,-1.6138
0.1245,0.7285,-1.6130
0.1285,0.7286,-1.6122
0.1324,0.7287,-1.6113
0.1363,0.7288,-1.6105
0.1403,0.7289,-1.6096
0.1442,0.7290,-1.6087
0.1481,0.7290,-1.6077
0.1520,0.7288,-1.6066
0.1559,0.7285,-1.6054
0.1598,0.7281,-1.6042
0.1637,0.7275,-1.6029
0.1676,0.7269,-1.6015
0.1715,0.7262,-1.6001
0.1754,0.7254,-1.5986
0.1793,0.7245,-1.5971
0.1831,0.7235,-1.5955
0.1870,0.7225,-1.5938
0.1909,0.7214,-1.5921
0.1947,0.7202,-1.5903
0.1986,0.7189,-1.5885
0.2024,0.7173,-1.5865
0.2062,0.7157,-1.5845
0.2099,0.7139,-1.5824
0.2137,0.7119,-1.5803
0.2174,0.7099,-1.5780
0.2211,0.7077,-1.5757
0.2248,0.7055,-1.5734
0.2285,0.7032,-1.5709
0.2322,0.7008,-1.5685
0.2358,0.6983,-1.5659
0.2395,0.6958,-1.5634
0.2431,0.6932,-1.5607
0.2467,0.6905,-1.5580
0.2504,0.6879,-1.5553
0.2540,0.6852,-1.5526
0.2576,0.6826,-1.5499
0.2612,0.6800,-1.5471
0.2649,0.6775,-1.5443
0.2685,0.6749,-1.5414
0.2721,0.6723,-1.5386
0.2758,0.6698,-1.5357
0.2794,0.6672,-1.5328
0.2830,0.6646,-1.5298
0.2866,0.6621,-1.5268
