TR1,CR1,FR1
-0.5151,-0.1539,-0.7312
-0.5162,-0.1527,-0.7315
-0.5172,-0.1508,-0.7326
-0.5181,-0.1483,-0.7346
-0.5189,-0.1452,-0.7373
-0.5196,-0.1415,-0.7407
-0.5203,-0.1375,-0.7446
-0.5209,-0.1330,-0.7490
-0.5214,-0.1281,-0.7538
-0.5219,-0.1230,-0.7590
-0.5223,-0.1175,-0.7645
-0.5227,-0.1119,-0.7703
-0.5230,-0.1060,-0.7764
-0.5233,-0.0999,-0.7826
-0.5236,-0.0937,-0.7890
-0.5239,-0.0873,-0.7956
-0.5241,-0.0808,-0.8023
-0.5243,-0.0742,-0.8091
-0.5245,-0.0675,-0.8159
-0.5246,-0.0607,-0.8229
-0.5248,-0.0539,-0.8299
-0.5248,-0.0470,-0.8370
-0.5249,-0.0400,-0.8442
-0.5249,-0.0329,-0.8515
-0.5248,-0.0258,-0.8588
-0.5247,-0.0186,-0.8661
-0.5246,-0.0115,-0.8735
-0.5245,-0.0043,-0.8809
-0.5243,0.0030,-0.8882
-0.5241,0.0102,-0.8956
-0.5238,0.0174,-0.9030
-0.5233,0.0245,-0.9106
-0.5226,0.0316,-0.9183
-0.5217,0.0387,-0.9260
-0.5207,0.0456,-0.9338
-0.5195,0.0526,-0.9417
-0.5182,0.0594,-0.9496
-0.5168,0.0663,-0.9576
-0.5153,0.0731,-0.9655
-0.5137,0.0798,-0.9735
-0.5120,0.0864,-0.9814
-0.5103,0.0930,-0.9893
-0.5084,0.0995,-0.9972
-0.5064,0.1059,-1.0050
-0.5044,0.1122,-1.0128
-0.5023,0.1185,-1.0206
-0.5002,0.1247,-1.0283
-0.4980,0.1309,-1.0360
-0.4958,0.1370,-1.0436
-0.4935,0.1430,-1.0511
-0.4912,0.1491,-1.0587
-0.4889,0.1551,-1.0662
-0.4865,0.1610,-1.0736
-0.4841,0.1670,-1.0810
-0.4817,0.1729,-1.0883
-0.4793,0.1789,-1.0959
-0.4769,0.1849,-1.1035
-0.4745,0.1908,-1.1109
-0.4720,0.1967,-1.1183
-0.4695,0.2026,-1.1255
-0.4670,0.2084,-1.1327
-0.4645,0.2142,-1.1398
-0.4619,0.2198,-1.1468
-0.4593,0.2253,-1.1537
-0.4567,0.2308,-1.1605
-0.4540,0.2361,-1.1672
-0.4513,0.2414,-1.1738
-0.4485,0.2466,-1.1803
-0.4458,0.2518,-1.1867
-0.4429,0.2567,-1.1928
-0.4401,0.2617,-1.1989
-0.4372,0.2667,-1.2050
-0.4344,0.2717,-1.2110
