tr2,cr2,fr2
-0.9264,0.0123,-0.6361
-0.9271,0.0132,-0.6344
-0.9279,0.0142,-0.6329
-0.9286,0.0155,-0.6318
-0.9292,0.0170,-0.6309
-0.9299,0.0187,-0.6303
-0.9304,0.0207,-0.6305
-0.9307,0.0230,-0.6316
-0.9309,0.0255,-0.6336
-0.9309,0.0283,-0.6363
-0.9308,0.0313,-0.6397
-0.9305,0.0345,-0.6438
-0.9302,0.0378,-0.6484
-0.9297,0.0412,-0.6531
-0.9295,0.0440,-0.6568
-0.9293,0.0463,-0.6595
-0.9293,0.0483,-0.6614
-0.9294,0.0498,-0.6625
-0.9296,0.0511,-0.6629
-0.9299,0.0520,-0.6627
-0.9303,0.0526,-0.6619
-0.9308,0.0526,-0.6600
-0.9314,0.0519,-0.6572
-0.9321,0.0506,-0.6535
-0.9327,0.0495,-0.6500
-0.9332,0.0492,-0.6479
-0.9336,0.0498,-0.6470
-0.9339,0.0511,-0.6472
-0.9340,0.0531,-0.6484
-0.9341,0.0556,-0.6505
-0.9341,0.0587,-0.6533
-0.9340,0.0622,-0.6567
-0.9339,0.0660,-0.6608
-0.9337,0.0703,-0.6654
-0.9334,0.0748,-0.6704
-0.9331,0.0797,-0.6759
-0.9328,0.0847,-0.6816
-0.9324,0.0899,-0.6876
-0.9321,0.0950,-0.6932
-0.9318,0.1000,-0.6986
-0.9315,0.1050,-0.7038
-0.9313,0.1099,-0.7088
-0.9312,0.1147,-0.7135
-0.9310,0.1194,-0.7181
-0.9309,0.1241,-0.7225
-0.9308,0.1287,-0.7268
-0.9308,0.1333,-0.7309
-0.9307,0.1378,-0.7349
-0.9307,0.1423,-0.7388
-0.9307,0.1468,-0.7425
-0.9307,0.1512,-0.7461
-0.9307,0.1555,-0.7497
-0.9307,0.1599,-0.7531
-0.9307,0.1642,-0.7565
-0.9308,0.1684,-0.7598
-0.9308,0.1726,-0.7629
-0.9309,0.1768,-0.7660
-0.9309,0.1808,-0.7689
-0.9310,0.1849,-0.7717
-0.9311,0.1888,-0.7744
-0.9313,0.1927,-0.7770
-0.9314,0.1966,-0.7795
-0.9315,0.2004,-0.7819
-0.9317,0.2042,-0.7842
-0.9318,0.2079,-0.7864
-0.9320,0.2116,-0.7886
-0.9321,0.2153,-0.7907
-0.9323,0.2189,-0.7928
-0.9325,0.2225,-0.7948
-0.9326,0.2261,-0.7967
-0.9328,0.2296,-0.7986
-0.9330,0.2331,-0.8004
-0.9332,0.2366,-0.8022
-0.9334,0.2401,-0.8040
-0.9334,0.2439,-0.8063
-0.9335,0.2479,-0.8090
-0.9334,0.2521,-0.8121
-0.9333,0.2564,-0.8154
-0.9332,0.2609,-0.8190
-0.9330,0.2655,-0.8229
-0.9328,0.2703,-0.8269
-0.9325,0.2751,-0.8312
-0.9322,0.2800,-0.8356
-0.9319,0.2850,-0.8401
-0.9316,0.2901,-0.8447
-0.9312,0.2952,-0.8495
-0.9308,0.3003,-0.8543
-0.9304,0.3055,-0.8592
-0.9299,0.3108,-0.8642
-0.9294,0.3161,-0.8694
-0.9289,0.3216,-0.8749
-0.9283,0.3271,-0.8804
