tr2,cr2,fr2
-0.941,0.070,-0.719
-0.941,0.071,-0.719
-0.941,0.072,-0.719
-0.941,0.073,-0.719
-0.941,0.075,-0.721
-0.941,0.078,-0.723
-0.941,0.080,-0.726
-0.941,0.084,-0.729
-0.941,0.087,-0.733
-0.941,0.091,-0.737
-0.941,0.095,-0.741
-0.940,0.099,-0.746
-0.940,0.103,-0.750
-0.940,0.108,-0.756
-0.939,0.113,-0.761
-0.939,0.117,-0.766
-0.939,0.122,-0.772
-0.938,0.127,-0.778
-0.938,0.133,-0.784
-0.937,0.138,-0.790
-0.937,0.143,-0.796
-0.936,0.148,-0.802
-0.936,0.153,-0.807
-0.935,0.158,-0.813
-0.935,0.163,-0.818
-0.935,0.168,-0.822
-0.935,0.172,-0.827
-0.934,0.177,-0.831
-0.934,0.181,-0.835
-0.934,0.186,-0.839
-0.934,0.190,-0.843
-0.934,0.194,-0.847
-0.934,0.198,-0.850
-0.934,0.202,-0.853
-0.934,0.206,-0.857
-0.934,0.210,-0.860
-0.934,0.214,-0.863
-0.934,0.218,-0.866
-0.934,0.222,-0.869
-0.934,0.226,-0.871
-0.934,0.229,-0.874
-0.934,0.233,-0.877
-0.934,0.237,-0.879
-0.934,0.241,-0.882
-0.934,0.244,-0.884
-0.934,0.248,-0.887
-0.934,0.251,-0.889
-0.934,0.255,-0.891
-0.935,0.259,-0.894
-0.935,0.262,-0.896
-0.935,0.266,-0.898
-0.935,0.269,-0.900
-0.935,0.273,-0.902
-0.935,0.276,-0.904
-0.935,0.280,-0.907
-0.935,0.283,-0.909
-0.935,0.287,-0.911
-0.935,0.291,-0.914
-0.935,0.295,-0.917
-0.935,0.299,-0.920
-0.935,0.303,-0.923
-0.935,0.307,-0.926
-0.935,0.311,-0.929
-0.934,0.315,-0.933
-0.934,0.319,-0.936
-0.934,0.323,-0.939
-0.934,0.328,-0.943
-0.934,0.332,-0.946
-0.933,0.336,-0.950
-0.933,0.341,-0.954
-0.933,0.345,-0.957
-0.933,0.349,-0.961
-0.932,0.354,-0.965
-0.932,0.358,-0.968
-0.932,0.362,-0.972
-0.932,0.367,-0.976
-0.931,0.371,-0.979
-0.931,0.376,-0.983
-0.931,0.380,-0.987
-0.930,0.384,-0.990
-0.930,0.389,-0.994
-0.930,0.393,-0.998
-0.929,0.397,-1.001
-0.929,0.402,-1.005
-0.929,0.406,-1.009
-0.928,0.411,-1.013
-0.928,0.415,-1.017
-0.927,0.420,-1.021
-0.927,0.425,-1.026
-0.926,0.429,-1.030
-0.926,0.434,-1.034
