tr,cr,fr,z
-0.320,0.545,-1.766,0.000
-0.323,0.545,-1.765,0.000
-0.325,0.544,-1.763,0.000
-0.328,0.543,-1.762,0.000
-0.330,0.543,-1.761,0.000
-0.333,0.542,-1.760,0.000
-0.336,0.542,-1.758,0.000
-0.339,0.541,-1.757,0.000
-0.342,0.541,-1.756,0.000
-0.344,0.540,-1.754,0.000
-0.347,0.540,-1.753,0.000
-0.350,0.539,-1.751,0.000
-0.353,0.539,-1.750,0.000
-0.356,0.539,-1.749,0.000
-0.359,0.538,-1.747,0.000
-0.362,0.538,-1.746,0.000
-0.365,0.537,-1.744,0.000
-0.368,0.537,-1.743,0.000
-0.371,0.536,-1.741,0.000
-0.374,0.536,-1.739,0.000
-0.377,0.535,-1.738,0.000
-0.380,0.534,-1.736,0.000
-0.383,0.534,-1.735,0.000
-0.386,0.533,-1.733,0.000
-0.389,0.533,-1.731,0.000
-0.392,0.532,-1.729,0.000
-0.395,0.532,-1.728,0.000
-0.398,0.531,-1.726,0.000
-0.401,0.530,-1.724,0.000
-0.404,0.530,-1.722,0.000
-0.407,0.529,-1.721,0.000
-0.410,0.528,-1.719,0.000
-0.413,0.528,-1.717,0.000
-0.416,0.527,-1.715,0.000
-0.419,0.526,-1.713,0.000
-0.422,0.525,-1.711,0.000
-0.425,0.525,-1.709,0.000
-0.428,0.524,-1.707,0.001
-0.431,0.524,-1.706,0.001
-0.434,0.523,-1.704,0.001
-0.437,0.523,-1.702,0.001
-0.440,0.522,-1.700,0.001
-0.443,0.522,-1.698,0.001
-0.446,0.521,-1.697,0.001
-0.448,0.521,-1.695,0.001
-0.451,0.521,-1.693,0.001
-0.454,0.520,-1.691,0.001
-0.457,0.520,-1.689,0.001
-0.460,0.519,-1.688,0.001
-0.463,0.519,-1.686,0.001
-0.466,0.518,-1.684,0.001
-0.469,0.517,-1.682,0.001
-0.471,0.517,-1.679,0.001
-0.474,0.516,-1.677,0.001
-0.477,0.515,-1.675,0.001
-0.480,0.515,-1.673,0.001
-0.483,0.514,-1.671,0.001
-0.486,0.513,-1.669,0.001
-0.488,0.512,-1.666,0.001
-0.491,0.511,-1.664,0.001
-0.494,0.509,-1.661,0.001
-0.497,0.508,-1.659,0.001
-0.499,0.507,-1.656,0.001
-0.502,0.505,-1.653,0.001
-0.505,0.504,-1.651,0.001
-0.508,0.503,-1.648,0.001
-0.510,0.501,-1.646,0.001
-0.513,0.500,-1.643,0.001
-0.516,0.499,-1.641,0.001
-0.518,0.499,-1.639,0.001
-0.521,0.498,-1.636,0.001
-0.524,0.497,-1.634,0.001
-0.526,0.497,-1.632,0.001
-0.529,0.496,-1.630,0.001
-0.532,0.495,-1.628,0.001
-0.534,0.495,-1.625,0.001
-0.537,0.494,-1.623,0.001
-0.539,0.493,-1.621,0.001
-0.542,0.492,-1.618,0.001
-0.545,0.491,-1.616,0.001
-0.547,0.490,-1.613,0.001
-0.550,0.489,-1.610,0.001
-0.552,0.488,-1.608,0.001
-0.555,0.487,-1.605,0.001
-0.557,0.486,-1.602,0.001
-0.560,0.484,-1.600,0.001
-0.563,0.483,-1.597,0.001
-0.565,0.482,-1.594,0.001
-0.568,0.481,-1.591,0.001
-0.570,0.479,-1.588,0.001
-0.573,0.478,-1.586,0.001
-0.575,0.477,-1.583,0.001
-0.578,0.476,-1.580,0.001
-0.580,0.474,-1.577,0.001
-0.583,0.473,-1.574,0.001
-0.585,0.472,-1.571,0.001
-0.588,0.471,-1.569,0.001
-0.590,0.470,-1.566,0.001
-0.593,0.468,-1.563,0.001
-0.595,0.467,-1.560,0.001
-0.598,0.466,-1.557,0.001
-0.600,0.464,-1.554,0.001
-0.603,0.463,-1.551,0.001
-0.605,0.462,-1.548,0.001
-0.607,0.460,-1.545,0.001
-0.610,0.459,-1.542,0.001
-0.612,0.457,-1.538,0.001
-0.615,0.456,-1.535,0.001
-0.617,0.454,-1.532,0.001
-0.619,0.453,-1.529,0.001
-0.622,0.452,-1.526,0.001
-0.624,0.450,-1.523,0.001
-0.627,0.449,-1.520,0.001
-0.629,0.447,-1.516,0.001
-0.631,0.446,-1.513,0.001
-0.634,0.444,-1.510,0.001
-0.636,0.443,-1.506,0.001
-0.638,0.441,-1.503,0.001
-0.641,0.439,-1.500,0.001
-0.643,0.438,-1.496,0.001
-0.645,0.436,-1.493,0.001
-0.647,0.434,-1.489,0.001
-0.650,0.432,-1.486,0.001
-0.652,0.431,-1.482,0.001
-0.654,0.429,-1.479,0.001
-0.656,0.427,-1.475,0.000
-0.659,0.425,-1.472,0.000
-0.661,0.424,-1.468,0.000
-0.663,0.422,-1.465,0.000
-0.665,0.420,-1.461,0.000
-0.668,0.419,-1.458,0.000
-0.670,0.417,-1.454,0.000
-0.672,0.415,-1.450,0.000
-0.674,0.413,-1.447,0.000
-0.676,0.412,-1.443,0.000
-0.679,0.410,-1.440,0.000
-0.681,0.408,-1.436,0.000
-0.683,0.406,-1.432,0.000
-0.685,0.404,-1.429,0.000
-0.687,0.403,-1.425,0.000
-0.689,0.401,-1.421,0.000
-0.692,0.399,-1.417,0.000
-0.694,0.397,-1.414,0.000
-0.696,0.396,-1.410,0.000
-0.698,0.394,-1.406,0.000
