tr,cr,fr,z
0.131,0.066,-1.164,0.000
0.128,0.067,-1.165,0.000
0.124,0.067,-1.165,0.000
0.121,0.067,-1.166,0.000
0.118,0.068,-1.167,0.000
0.115,0.068,-1.168,0.000
0.112,0.068,-1.169,0.000
0.109,0.069,-1.170,0.000
0.106,0.069,-1.170,0.000
0.103,0.069,-1.171,0.000
0.100,0.069,-1.172,0.000
0.097,0.070,-1.172,0.000
0.094,0.070,-1.173,0.000
0.091,0.070,-1.174,0.000
0.088,0.070,-1.174,0.000
0.084,0.071,-1.175,0.000
0.081,0.071,-1.176,0.000
0.078,0.071,-1.176,0.000
0.075,0.071,-1.177,0.000
0.071,0.071,-1.177,0.000
0.068,0.072,-1.178,0.000
0.065,0.072,-1.178,0.000
0.061,0.072,-1.179,0.000
0.058,0.072,-1.179,0.000
0.055,0.072,-1.180,0.000
0.051,0.072,-1.180,0.000
0.048,0.073,-1.181,0.000
0.045,0.073,-1.181,0.000
0.041,0.073,-1.181,0.000
0.038,0.073,-1.181,0.000
0.034,0.073,-1.182,0.000
0.031,0.073,-1.182,0.000
0.028,0.073,-1.182,0.000
0.024,0.073,-1.182,0.000
0.021,0.073,-1.183,0.000
0.017,0.073,-1.183,0.000
0.014,0.073,-1.183,0.000
0.010,0.073,-1.183,0.000
0.007,0.074,-1.183,0.000
0.003,0.074,-1.183,0.000
0.000,0.074,-1.183,0.000
-0.003,0.074,-1.183,0.000
-0.007,0.073,-1.183,0.000
-0.010,0.073,-1.183,0.000
-0.014,0.073,-1.183,0.000
-0.017,0.073,-1.183,0.000
-0.021,0.073,-1.183,0.000
-0.024,0.073,-1.182,0.000
-0.028,0.073,-1.182,0.000
-0.031,0.073,-1.182,0.000
-0.035,0.073,-1.182,0.000
-0.038,0.073,-1.181,0.000
-0.041,0.073,-1.181,0.000
-0.045,0.073,-1.181,0.000
-0.048,0.072,-1.180,0.000
-0.052,0.072,-1.180,0.000
-0.055,0.072,-1.179,0.000
-0.059,0.072,-1.179,0.000
-0.062,0.072,-1.179,0.000
-0.066,0.071,-1.178,0.000
-0.069,0.071,-1.177,0.000
-0.073,0.071,-1.177,0.000
-0.076,0.071,-1.176,0.000
-0.079,0.071,-1.176,0.000
-0.083,0.070,-1.175,0.000
-0.086,0.070,-1.174,0.000
-0.090,0.070,-1.174,0.000
-0.093,0.069,-1.173,0.000
-0.097,0.069,-1.172,0.000
-0.100,0.069,-1.171,0.000
-0.104,0.068,-1.171,0.000
-0.107,0.068,-1.170,0.000
-0.110,0.068,-1.169,0.000
-0.114,0.067,-1.168,0.000
-0.117,0.067,-1.167,0.000
-0.121,0.067,-1.166,0.000
-0.124,0.066,-1.165,0.000
-0.127,0.066,-1.164,0.000
-0.131,0.065,-1.163,0.000
-0.134,0.065,-1.162,0.000
-0.138,0.065,-1.161,0.000
-0.141,0.064,-1.160,0.000
-0.145,0.064,-1.159,0.000
-0.148,0.063,-1.157,0.000
-0.151,0.063,-1.156,0.000
-0.155,0.062,-1.155,0.000
-0.158,0.062,-1.154,0.000
-0.161,0.061,-1.152,0.000
-0.165,0.061,-1.151,0.000
-0.168,0.060,-1.150,0.000
-0.172,0.060,-1.148,0.000
-0.175,0.059,-1.147,0.000
-0.178,0.058,-1.145,0.000
