tr,cr,fr,z
-0.487,0.496,-1.664,0.001
-0.490,0.495,-1.662,0.001
-0.492,0.494,-1.659,0.001
-0.495,0.492,-1.657,0.001
-0.498,0.491,-1.654,0.001
-0.501,0.490,-1.652,0.001
-0.504,0.488,-1.649,0.001
-0.506,0.487,-1.647,0.001
-0.509,0.486,-1.644,0.001
-0.512,0.485,-1.642,0.001
-0.514,0.484,-1.640,0.001
-0.517,0.484,-1.637,0.001
-0.520,0.483,-1.635,0.001
-0.522,0.483,-1.633,0.001
-0.525,0.482,-1.631,0.001
-0.528,0.482,-1.629,0.001
-0.530,0.481,-1.627,0.001
-0.533,0.480,-1.624,0.001
-0.536,0.480,-1.622,0.001
-0.538,0.479,-1.620,0.001
-0.541,0.478,-1.617,0.001
-0.544,0.477,-1.615,0.001
-0.546,0.476,-1.612,0.001
-0.549,0.475,-1.609,0.001
-0.551,0.473,-1.607,0.001
-0.554,0.472,-1.604,0.001
-0.557,0.471,-1.601,0.001
-0.559,0.470,-1.598,0.001
-0.562,0.469,-1.596,0.001
-0.564,0.467,-1.593,0.001
-0.567,0.466,-1.590,0.001
-0.569,0.465,-1.587,0.001
-0.572,0.464,-1.585,0.001
-0.575,0.463,-1.582,0.001
-0.577,0.461,-1.579,0.001
-0.580,0.460,-1.576,0.001
-0.582,0.459,-1.574,0.001
-0.585,0.458,-1.571,0.001
-0.587,0.457,-1.568,0.001
-0.590,0.456,-1.565,0.001
-0.592,0.454,-1.562,0.001
-0.595,0.453,-1.559,0.001
-0.597,0.452,-1.556,0.001
-0.600,0.450,-1.553,0.001
-0.602,0.449,-1.550,0.001
-0.604,0.448,-1.547,0.001
-0.607,0.446,-1.544,0.001
-0.609,0.445,-1.541,0.001
-0.612,0.443,-1.538,0.001
-0.614,0.442,-1.535,0.001
-0.617,0.441,-1.532,0.001
-0.619,0.439,-1.529,0.001
-0.621,0.438,-1.525,0.001
-0.624,0.436,-1.522,0.001
-0.626,0.435,-1.519,0.001
-0.629,0.434,-1.516,0.001
-0.631,0.432,-1.513,0.001
-0.633,0.431,-1.509,0.001
-0.636,0.429,-1.506,0.001
-0.638,0.427,-1.503,0.001
-0.640,0.426,-1.499,0.001
-0.643,0.424,-1.496,0.001
-0.645,0.422,-1.493,0.001
-0.647,0.421,-1.489,0.001
-0.649,0.419,-1.486,0.001
-0.652,0.417,-1.482,0.001
-0.654,0.416,-1.479,0.000
-0.656,0.414,-1.475,0.000
-0.659,0.412,-1.472,0.000
-0.661,0.411,-1.468,0.000
-0.663,0.409,-1.465,0.000
-0.665,0.407,-1.461,0.000
-0.668,0.405,-1.458,0.000
-0.670,0.404,-1.454,0.000
-0.672,0.402,-1.450,0.000
-0.674,0.400,-1.447,0.000
-0.676,0.399,-1.443,0.000
-0.679,0.397,-1.440,0.000
-0.681,0.395,-1.436,0.000
-0.683,0.393,-1.432,0.000
-0.685,0.392,-1.429,0.000
-0.687,0.390,-1.425,0.000
-0.689,0.388,-1.421,0.000
-0.692,0.387,-1.418,0.000
-0.694,0.385,-1.414,0.000
-0.696,0.383,-1.410,0.000
-0.698,0.381,-1.407,0.000
-0.700,0.380,-1.403,0.000
-0.702,0.378,-1.399,0.000
-0.704,0.376,-1.395,0.000
-0.706,0.374,-1.392,0.000
-0.709,0.373,-1.388,0.000
-0.711,0.371,-1.384,0.000
-0.713,0.369,-1.380,0.000
-0.715,0.367,-1.376,0.000
-0.717,0.366,-1.373,0.000
-0.719,0.364,-1.369,0.000
-0.721,0.363,-1.366,0.000
-0.723,0.362,-1.362,0.000
-0.725,0.361,-1.359,0.000
-0.727,0.359,-1.356,0.000
-0.729,0.358,-1.352,0.001
-0.731,0.357,-1.349,0.001
-0.732,0.355,-1.345,0.001
-0.734,0.354,-1.341,0.001
-0.736,0.352,-1.338,0.001
-0.738,0.350,-1.334,0.001
-0.740,0.348,-1.330,0.001
-0.742,0.346,-1.326,0.001
-0.744,0.345,-1.321,0.001
-0.746,0.343,-1.317,0.001
-0.748,0.341,-1.313,0.001
-0.750,0.339,-1.309,0.001
-0.752,0.337,-1.305,0.001
-0.754,0.335,-1.301,0.001
-0.755,0.333,-1.297,0.001
-0.757,0.331,-1.292,0.001
-0.759,0.329,-1.288,0.001
-0.761,0.327,-1.284,0.001
-0.763,0.325,-1.280,0.001
-0.765,0.323,-1.275,0.001
-0.767,0.321,-1.271,0.001
-0.769,0.318,-1.267,0.001
-0.770,0.316,-1.262,0.001
-0.772,0.314,-1.258,0.001
-0.774,0.312,-1.254,0.001
-0.776,0.310,-1.249,0.001
-0.778,0.309,-1.245,0.001
-0.780,0.307,-1.241,0.001
-0.781,0.305,-1.236,0.001
-0.783,0.303,-1.232,0.001
-0.785,0.301,-1.228,0.001
-0.787,0.299,-1.223,0.001
-0.789,0.297,-1.219,0.001
-0.790,0.294,-1.214,0.001
-0.792,0.292,-1.209,0.001
-0.794,0.289,-1.204,0.001
-0.795,0.286,-1.199,0.001
-0.797,0.283,-1.194,0.001
-0.799,0.280,-1.189,0.001
-0.800,0.276,-1.183,0.000
-0.802,0.273,-1.178,0.000
-0.804,0.271,-1.173,0.000
-0.805,0.268,-1.168,0.000
-0.807,0.266,-1.164,0.000
-0.808,0.264,-1.159,0.000
-0.810,0.262,-1.155,0.000
-0.811,0.260,-1.151,0.000
-0.813,0.259,-1.147,0.000
-0.814,0.257,-1.143,0.001
-0.816,0.255,-1.139,0.001
-0.817,0.253,-1.135,0.001
-0.819,0.251,-1.130,0.001
-0.821,0.249,-1.126,0.001
-0.822,0.247,-1.121,0.001
-0.824,0.245,-1.116,0.001
-0.825,0.242,-1.111,0.001
-0.827,0.239,-1.106,0.001
-0.828,0.236,-1.101,0.001
-0.830,0.234,-1.095,0.001
-0.831,0.231,-1.090,0.001
-0.833,0.228,-1.085,0.001
-0.835,0.225,-1.079,0.001
-0.836,0.221,-1.073,0.000
-0.838,0.218,-1.068,0.000
-0.839,0.215,-1.062,0.000
-0.841,0.212,-1.057,0.000
-0.842,0.210,-1.051,0.000
-0.844,0.207,-1.046,0.000
-0.845,0.204,-1.041,0.000
-0.847,0.202,-1.035,0.000
-0.849,0.199,-1.030,0.000
-0.850,0.196,-1.024,0.000
-0.852,0.193,-1.018,0.000
-0.853,0.191,-1.013,0.001
-0.855,0.188,-1.007,0.001
-0.856,0.185,-1.001,0.001
-0.858,0.182,-0.995,0.001
-0.859,0.179,-0.989,0.001
-0.861,0.176,-0.983,0.001
-0.862,0.173,-0.977,0.001
-0.864,0.170,-0.971,0.001
-0.865,0.166,-0.965,0.001
-0.867,0.163,-0.959,0.001
-0.868,0.160,-0.953,0.001
-0.870,0.157,-0.947,0.001
-0.871,0.153,-0.940,0.001
-0.873,0.150,-0.933,0.001
-0.874,0.146,-0.927,0.001
-0.876,0.142,-0.920,0.001
-0.877,0.138,-0.913,0.000
-0.879,0.135,-0.906,0.000
-0.880,0.131,-0.899,0.000
-0.881,0.127,-0.892,0.000
-0.883,0.122,-0.885,0.000
-0.884,0.118,-0.877,0.000
-0.886,0.114,-0.870,0.000
-0.887,0.110,-0.862,0.000
-0.889,0.106,-0.855,0.000
-0.890,0.101,-0.847,0.000
-0.891,0.097,-0.839,0.000
-0.893,0.092,-0.832,0.000
-0.894,0.088,-0.824,0.000
-0.896,0.085,-0.817,0.000
-0.897,0.081,-0.810,0.000
-0.898,0.078,-0.804,0.000
-0.899,0.074,-0.797,0.000
-0.901,0.071,-0.790,0.000
-0.902,0.067,-0.783,0.000
-0.903,0.063,-0.776,0.000
-0.905,0.060,-0.769,0.000
-0.906,0.056,-0.761,0.000
-0.907,0.053,-0.754,0.000
-0.909,0.049,-0.747,0.000
-0.910,0.045,-0.739,0.000
-0.911,0.040,-0.731,0.000
-0.912,0.036,-0.723,0.000
-0.914,0.031,-0.714,0.000
-0.915,0.027,-0.706,0.000
-0.916,0.023,-0.700,0.000
-0.917,0.020,-0.694,0.001
-0.918,0.018,-0.688,0.001
-0.919,0.017,-0.684,0.001
-0.920,0.016,-0.681,0.001
-0.920,0.015,-0.678,0.002
-0.921,0.016,-0.677,0.002
-0.921,0.017,-0.676,0.002
-0.922,0.018,-0.677,0.003
-0.922,0.021,-0.678,0.003
-0.922,0.023,-0.680,0.004
-0.922,0.026,-0.683,0.004
-0.922,0.030,-0.686,0.004
-0.922,0.033,-0.690,0.005
-0.922,0.037,-0.694,0.005
-0.922,0.042,-0.699,0.006
-0.922,0.046,-0.704,0.006
-0.921,0.051,-0.709,0.007
-0.921,0.056,-0.714,0.008
-0.921,0.061,-0.720,0.008
-0.920,0.066,-0.726,0.009
-0.920,0.071,-0.732,0.009
-0.920,0.076,-0.738,0.010
-0.919,0.082,-0.745,0.010
-0.919,0.087,-0.751,0.011
-0.918,0.093,-0.758,0.011
-0.918,0.098,-0.764,0.012
-0.917,0.104,-0.771,0.013
-0.917,0.110,-0.777,0.013
-0.916,0.115,-0.784,0.014
-0.916,0.121,-0.791,0.014
-0.915,0.127,-0.797,0.015
-0.915,0.132,-0.804,0.016
-0.914,0.138,-0.811,0.016
-0.914,0.144,-0.817,0.017
-0.913,0.149,-0.823,0.017
-0.913,0.154,-0.828,0.018
-0.912,0.160,-0.834,0.019
-0.912,0.165,-0.839,0.019
-0.912,0.170,-0.845,0.020
-0.911,0.175,-0.850,0.021
-0.911,0.180,-0.855,0.021
-0.911,0.185,-0.860,0.022
-0.910,0.190,-0.864,0.023
-0.910,0.194,-0.869,0.023
-0.910,0.199,-0.873,0.024
-0.910,0.204,-0.878,0.025
-0.909,0.209,-0.882,0.025
