tr,cr,fr,z
0.836,-0.205,-0.506,0.001
0.834,-0.199,-0.518,0.001
0.832,-0.193,-0.530,0.001
0.830,-0.187,-0.542,0.001
0.828,-0.181,-0.554,0.001
0.826,-0.175,-0.566,0.000
0.824,-0.169,-0.578,0.000
0.822,-0.163,-0.591,0.000
0.819,-0.157,-0.603,0.000
0.817,-0.151,-0.615,0.000
0.815,-0.146,-0.627,0.000
0.813,-0.140,-0.639,0.000
0.811,-0.134,-0.650,0.000
0.808,-0.128,-0.662,0.000
0.806,-0.122,-0.674,0.000
0.804,-0.117,-0.685,0.000
0.802,-0.111,-0.696,0.000
0.799,-0.106,-0.707,0.000
0.797,-0.100,-0.718,0.000
0.794,-0.095,-0.729,0.000
0.792,-0.090,-0.740,0.000
0.790,-0.085,-0.750,0.000
0.787,-0.080,-0.761,0.000
0.785,-0.075,-0.771,0.000
0.782,-0.070,-0.781,0.000
0.780,-0.065,-0.791,0.000
0.777,-0.060,-0.801,0.000
0.775,-0.055,-0.811,0.000
0.772,-0.051,-0.821,0.000
0.770,-0.046,-0.830,0.000
0.767,-0.042,-0.840,0.000
0.765,-0.037,-0.849,0.000
0.762,-0.033,-0.858,0.000
0.759,-0.029,-0.867,0.000
0.757,-0.024,-0.876,0.000
0.754,-0.020,-0.885,0.000
0.752,-0.016,-0.894,0.000
0.749,-0.012,-0.903,0.000
0.746,-0.008,-0.911,0.000
0.744,-0.004,-0.920,0.000
0.741,0.000,-0.928,0.000
0.738,0.003,-0.936,0.000
0.735,0.007,-0.945,0.000
0.733,0.011,-0.953,0.000
0.730,0.014,-0.961,0.000
0.727,0.018,-0.969,0.000
0.724,0.022,-0.976,0.000
0.722,0.025,-0.984,0.000
0.719,0.029,-0.992,0.000
0.716,0.032,-0.999,0.000
0.713,0.035,-1.007,0.000
0.710,0.039,-1.014,0.000
0.707,0.042,-1.022,0.000
0.705,0.045,-1.029,0.000
0.702,0.048,-1.036,0.000
0.699,0.051,-1.043,0.000
0.696,0.054,-1.050,0.000
0.693,0.057,-1.056,0.000
0.691,0.059,-1.060,0.000
0.690,0.060,-1.064,0.000
0.689,0.061,-1.066,0.000
0.688,0.062,-1.067,0.000
0.688,0.063,-1.069,0.000
0.687,0.063,-1.070,0.000
0.686,0.064,-1.073,0.000
0.685,0.066,-1.075,0.000
0.683,0.067,-1.079,0.000
0.682,0.068,-1.082,0.000
0.680,0.070,-1.086,0.000
0.678,0.072,-1.090,0.000
0.676,0.074,-1.094,0.000
0.674,0.075,-1.099,0.000
0.672,0.077,-1.103,0.000
0.670,0.079,-1.108,0.000
0.667,0.082,-1.113,0.000
0.665,0.084,-1.118,0.000
0.662,0.086,-1.123,0.000
0.660,0.088,-1.128,0.000
0.657,0.090,-1.134,0.000
0.654,0.093,-1.139,0.000
0.651,0.095,-1.144,0.000
0.649,0.097,-1.150,0.000
0.646,0.099,-1.155,0.000
0.643,0.101,-1.160,0.000
0.640,0.104,-1.166,0.000
0.637,0.106,-1.171,0.000
0.634,0.108,-1.177,0.000
0.631,0.110,-1.182,0.000
0.628,0.113,-1.187,0.000
0.625,0.115,-1.193,0.000
0.622,0.117,-1.198,0.000
0.618,0.119,-1.203,0.000
0.615,0.121,-1.209,0.000
0.612,0.123,-1.214,0.000
0.609,0.125,-1.219,0.000
0.605,0.127,-1.224,0.000
0.602,0.129,-1.229,0.000
0.599,0.131,-1.235,0.000
0.595,0.133,-1.240,0.000
0.592,0.135,-1.245,0.000
0.589,0.137,-1.250,0.000
0.585,0.139,-1.255,0.000
0.582,0.141,-1.260,0.000
0.578,0.143,-1.265,0.000
0.575,0.145,-1.269,0.000
0.571,0.147,-1.274,0.000
0.568,0.149,-1.279,0.000
0.564,0.151,-1.284,0.000
0.561,0.152,-1.288,0.000
0.557,0.154,-1.293,0.000
0.554,0.156,-1.298,0.000
0.550,0.158,-1.302,0.000
0.546,0.159,-1.307,0.000
0.543,0.161,-1.311,0.000
0.539,0.163,-1.316,0.000
0.536,0.164,-1.320,0.000
0.532,0.166,-1.324,0.000
0.528,0.167,-1.329,0.000
0.524,0.169,-1.333,0.000
0.521,0.170,-1.337,0.000
0.517,0.172,-1.341,0.000
0.513,0.173,-1.346,0.000
0.509,0.175,-1.350,0.000
0.506,0.176,-1.354,0.000
0.502,0.178,-1.358,0.000
0.498,0.179,-1.362,0.000
0.494,0.181,-1.366,0.000
0.490,0.182,-1.370,0.000
0.486,0.183,-1.373,0.000
0.482,0.185,-1.377,0.000
0.478,0.186,-1.381,0.000
0.475,0.187,-1.385,0.000
0.471,0.189,-1.388,0.000
0.467,0.190,-1.392,0.000
0.463,0.191,-1.396,0.000
0.459,0.192,-1.399,0.000
0.455,0.194,-1.403,0.000
0.451,0.195,-1.406,0.000
0.447,0.196,-1.410,0.000
0.442,0.197,-1.413,0.000
0.438,0.198,-1.417,0.000
0.434,0.199,-1.420,0.000
0.430,0.200,-1.423,0.000
0.426,0.202,-1.427,0.000
0.422,0.203,-1.430,0.000
0.418,0.204,-1.433,0.000
0.414,0.205,-1.436,0.000
0.409,0.206,-1.439,0.000
0.405,0.207,-1.442,0.000
0.401,0.208,-1.445,0.000
0.397,0.209,-1.448,0.000
0.392,0.210,-1.451,0.000
0.388,0.211,-1.454,0.000
0.384,0.212,-1.457,0.000
0.380,0.212,-1.460,0.000
0.375,0.213,-1.463,0.000
0.371,0.214,-1.466,0.000
0.367,0.215,-1.468,0.000
0.362,0.216,-1.471,0.000
0.358,0.217,-1.474,0.000
0.354,0.218,-1.476,0.000
0.349,0.218,-1.479,0.000
0.345,0.219,-1.482,0.000
0.340,0.220,-1.484,0.000
0.336,0.221,-1.487,0.000
0.331,0.221,-1.489,0.000
0.327,0.222,-1.492,0.000
0.322,0.223,-1.494,0.000
0.318,0.224,-1.496,0.000
0.313,0.224,-1.499,0.000
0.309,0.225,-1.501,0.000
0.304,0.226,-1.503,0.000
0.300,0.226,-1.505,0.000
0.295,0.227,-1.507,0.000
0.291,0.228,-1.510,0.000
0.286,0.228,-1.512,0.000
0.282,0.229,-1.514,0.000
0.277,0.229,-1.516,0.000
0.272,0.230,-1.518,0.000
0.268,0.230,-1.520,0.000
0.263,0.231,-1.522,0.000
