tr,cr,fr,z
0.475,-0.046,-0.931,0.002
0.474,-0.048,-0.930,0.002
0.472,-0.050,-0.929,0.002
0.471,-0.051,-0.929,0.002
0.469,-0.052,-0.929,0.001
0.467,-0.053,-0.930,0.001
0.465,-0.053,-0.932,0.001
0.462,-0.054,-0.934,0.001
0.460,-0.053,-0.936,0.001
0.457,-0.053,-0.939,0.001
0.455,-0.052,-0.942,0.001
0.452,-0.051,-0.945,0.001
0.449,-0.050,-0.948,0.001
0.446,-0.049,-0.952,0.001
0.443,-0.048,-0.956,0.000
0.439,-0.047,-0.959,0.000
0.436,-0.045,-0.964,0.000
0.433,-0.044,-0.968,0.000
0.429,-0.042,-0.972,0.000
0.426,-0.041,-0.976,0.000
0.423,-0.039,-0.980,0.000
0.419,-0.037,-0.985,0.000
0.415,-0.036,-0.989,0.000
0.412,-0.034,-0.993,0.000
0.408,-0.032,-0.998,0.000
0.405,-0.030,-1.002,0.000
0.401,-0.029,-1.006,0.000
0.397,-0.027,-1.011,0.000
0.393,-0.025,-1.015,0.000
0.390,-0.023,-1.019,0.000
0.386,-0.022,-1.024,0.000
0.382,-0.020,-1.028,0.000
0.378,-0.018,-1.032,0.000
0.374,-0.016,-1.036,0.000
0.370,-0.015,-1.041,0.000
0.366,-0.013,-1.045,0.000
0.362,-0.011,-1.049,0.000
0.358,-0.010,-1.053,0.000
0.354,-0.008,-1.057,0.000
0.350,-0.006,-1.061,0.000
0.346,-0.005,-1.065,0.000
0.342,-0.003,-1.068,0.000
0.338,-0.002,-1.072,0.000
0.334,0.000,-1.076,0.000
0.330,0.001,-1.080,0.000
0.326,0.003,-1.083,0.000
0.322,0.004,-1.087,0.000
0.318,0.006,-1.090,0.000
0.314,0.007,-1.094,0.000
0.309,0.008,-1.097,0.000
0.305,0.010,-1.100,0.000
0.301,0.011,-1.104,0.000
0.297,0.012,-1.107,0.000
0.293,0.014,-1.110,0.000
0.288,0.015,-1.113,0.000
0.284,0.016,-1.116,0.000
0.280,0.017,-1.119,0.000
0.276,0.019,-1.122,0.000
0.271,0.020,-1.125,0.000
0.267,0.021,-1.128,0.000
0.263,0.022,-1.131,0.000
0.258,0.023,-1.134,0.000
0.254,0.024,-1.137,0.000
0.250,0.025,-1.139,0.000
0.246,0.026,-1.142,0.000
0.241,0.028,-1.145,0.000
0.237,0.029,-1.147,0.000
0.232,0.030,-1.150,0.000
0.228,0.030,-1.152,0.000
0.224,0.031,-1.155,0.000
0.219,0.032,-1.157,0.000
0.215,0.033,-1.159,0.000
0.211,0.034,-1.161,0.000
0.206,0.035,-1.164,0.000
0.202,0.036,-1.166,0.000
0.197,0.037,-1.168,0.000
0.193,0.037,-1.170,0.000
0.188,0.038,-1.172,0.000
0.184,0.039,-1.174,0.000
0.179,0.040,-1.176,0.000
0.175,0.040,-1.177,0.000
0.171,0.041,-1.179,0.000
0.166,0.042,-1.181,0.000
0.162,0.042,-1.183,0.000
0.157,0.043,-1.184,0.000
0.153,0.044,-1.186,0.000
0.148,0.044,-1.187,0.000
